##Options: Namespace(fnames='sampled_fns.txt', k=[31], nrepeat=2, nthreads=[268], sketchsize=[16384])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTiMash	31	16384	8	268	6509.531764736399	65567.43940907344
Bindash-8	31	16384	8	268	6019.201535804197	4383.154961079359
044719099707
Bindash-4	31	16384	4	268	2053.7642120020028	206.3800569580053
Bindash-2	31	16384	2	268	2065.4200990934914	207.87123047499335
Bindash-1	31	16384	1	268	2076.842279311997	208.89080635100254
Bindash-0.5	31	16384	0.5	268	2063.7309260985057	210.8659287444898
Dashing1-bin	31	16384	1	268	402.4221141175076	2534.804443561501
Dashing1-txt	31	16384	1	268	402.38545595000323	679.6615657304937
D2OP-bin-8	31	16384	8	268	696.7291176085128	561.4159178090049
D2OP-bin-4	31	16384	4	268	684.7983362994855	281.5807655249955
D2OP-bin-2	31	16384	2	268	697.9229303085158	85.74887851098902
D2OP-bin-1	31	16384	1	268	693.3886517129868	45.97452224549488
D2OP-bin-0.5	31	16384	0.5	268	707.8773226384947	61.195311272502295
D2FSS-bin-8	31	16384	8	268	816.8613292475056	555.8707116959995
D2FSS-bin-4	31	16384	4	268	797.9841933805001	280.5622965950024
D2FSS-bin-2	31	16384	2	268	740.056272867514	84.40736590699817
D2FSS-bin-1	31	16384	1	268	769.125472644504	45.291233537500375
D2FSS-bin-0.5	31	16384	0.5	268	826.9518148534844	61.971853038005065
