Bucket 0 [0.]	0:110	0:113	0:121	0:130	0:138	0:141	0:142	0:143	0:146	0:148
Bucket 70 [0.539062->0.546875]	396:38098	396:38146	405:2999	407:62851	477:27925	596:45175	613:48322	748:47814	866:51244	876:48424
Bucket 71 [0.546875->0.554688]	288:56913	378:6983	396:38123	396:38135	405:2974	440:35924	440:35934	443:24274	607:71062	758:44397
Bucket 72 [0.554688->0.5625]	376:48646	399:26381	405:3011	412:9526	416:27762	443:24263	460:26006	848:15980	862:32154	866:51252
Bucket 73 [0.5625->0.570312]	397:68036	500:6855	500:6856	747:17790	760:3235	848:15981	848:16004	873:59384	876:48428	889:34778
Bucket 74 [0.570312->0.578125]	440:35933	440:35938	498:48354	498:48355	500:6853	505:55206	505:55207	602:22390	849:46061	869:40283
Bucket 75 [0.578125->0.585938]	380:66809	396:38096	410:51145	485:64663	485:64665	485:64666	498:48352	505:55204	744:28952	848:16000
Bucket 76 [0.585938->0.59375]	288:56917	329:64116	606:40994	606:41004	606:41006	606:41011	606:41012	606:41018	606:41022	606:41025
Bucket 77 [0.59375->0.601562]	288:56915	397:68021	579:42282	599:33780	606:40995	606:40996	606:40998	606:40999	606:41000	606:41001
Bucket 78 [0.601562->0.609375]	405:3022	536:71343	613:48327	843:68857	872:29328	872:29332	873:59390	987:50987	1770:23072	1968:8003
Bucket 79 [0.609375->0.617188]	412:9511	607:71061	799:61317	843:68980	843:69037	848:15991	862:32156	882:26543	885:15600	1006:16603
Bucket 80 [0.617188->0.625]	329:64107	468:62664	490:11556	825:33885	861:2097	861:2108	866:51238	866:51261	876:48429	876:48442
Bucket 81 [0.625->0.632812]	325:46014	861:2123	880:67617	885:15604	987:50989	1827:44271	1841:67285	1989:43948	1996:56008	1996:56009
Bucket 82 [0.632812->0.640625]	298:51124	298:51138	308:45418	825:33696	862:32163	873:59394	882:26536	882:26539	1071:54242	1743:8416
Bucket 83 [0.640625->0.648438]	308:45420	397:68018	532:53038	825:33616	869:40296	876:48427	876:48440	878:7423	902:21222	930:54406
Bucket 84 [0.648438->0.65625]	542:48406	747:17797	841:7994	843:68717	861:2112	872:29326	876:48432	902:21227	902:21252	902:21253
Bucket 85 [0.65625->0.664062]	318:39770	599:33887	760:3236	811:17135	841:7919	843:68854	843:69089	845:27112	848:15984	873:59383
Bucket 86 [0.664062->0.671875]	485:64622	485:64627	797:1416	805:39157	805:39178	811:17060	862:32172	882:26547	999:8157	1043:19073
Bucket 87 [0.671875->0.679688]	485:64623	797:1368	1133:3720	1133:3721	1727:25987	1727:25990	1827:44148	1841:67073	1841:67162	1877:54953
Bucket 88 [0.679688->0.6875]	484:34686	484:34688	484:34689	484:34704	607:71070	805:39254	842:38043	878:7427	1487:3454	1827:44008
Bucket 89 [0.6875->0.695312]	450:30931	748:47817	805:39179	848:15986	876:48436	1108:58086	1115:67063	1448:32817	1487:3471	1487:3478
Bucket 90 [0.695312->0.703125]	744:28955	801:20181	836:60918	838:19857	1107:27958	1272:58753	1479:63638	1487:3468	1487:3492	1743:8433
Bucket 91 [0.703125->0.710938]	450:30935	508:43655	511:32120	512:62071	613:48323	765:52159	862:32168	886:45662	964:66370	986:20904
Bucket 92 [0.710938->0.71875]	464:44359	747:17801	836:60772	838:19711	862:32166	964:66322	986:20856	989:10083	1097:29551	1098:59676
Bucket 93 [0.71875->0.726562]	886:45666	959:17032	960:47116	1060:25981	1101:49081	1272:58671	1272:58674	1272:58675	1272:58676	1272:58677
Bucket 94 [0.726562->0.734375]	498:48312	500:6817	748:47820	797:1332	843:68768	848:15995	1009:5812	1053:17194	1054:47306	1061:56095
Bucket 95 [0.734375->0.742188]	599:33893	797:1347	797:1349	824:3092	959:17038	960:47122	1054:47312	1097:29606	1152:71892	1201:35232
Bucket 96 [0.742188->0.75]	843:68707	959:17033	960:47117	1009:5813	1009:5818	1053:17195	1053:17200	1054:47307	1060:25982	1060:25987
Bucket 97 [0.75->0.757812]	843:68733	1190:6371	1268:38814	1269:68990	1271:28491	1371:23281	1372:53488	1374:13123	1375:43331	1377:2970
Bucket 98 [0.757812->0.765625]	484:34711	848:15997	1114:36920	1190:6331	1218:43454	1222:63213	1232:62202	1235:51821	1237:11278	1239:71612
Bucket 99 [0.765625->0.773438]	599:33879	602:22496	845:27704	848:16008	1190:6190	1190:6194	1190:6195	1190:6200	1190:6201	1190:6203
Bucket 100 [0.773438->0.78125]	508:43648	511:32113	512:62064	613:48316	755:55544	845:27666	1181:37560	1190:6191	1190:6193	1190:6197
Bucket 101 [0.78125->0.789062]	943:41661	1054:47361	1097:29561	1098:59731	1098:59735	1190:6251	1190:6393	1192:66621	1192:66622	1192:66623
Bucket 102 [0.789062->0.796875]	599:33890	825:33121	959:17087	960:47171	1009:5867	1009:5871	1054:47365	1095:70331	1095:70335	1098:59823
Bucket 103 [0.796875->0.804688]	439:5967	439:5968	531:22961	531:23090	811:17059	885:15608	943:41623	959:17091	960:47175	1009:5959
Bucket 104 [0.804688->0.8125]	599:33876	959:17179	959:17182	960:47263	960:47266	1053:17253	1060:26040	1060:26128	1061:56154	1094:40207
Bucket 105 [0.8125->0.820312]	744:28958	889:34733	1053:17341	1053:17344	1060:26131	1061:56242	1061:56245	1094:40299	1094:40302	1190:6196
Bucket 106 [0.820312->0.828125]	531:22969	596:45281	1195:56106	1195:56153	1195:56154	1195:56155	1195:56159	1195:56161	1195:56163	1195:56251
Bucket 107 [0.828125->0.835938]	589:38122	959:17042	960:47126	1009:5822	1054:47299	1054:47316	1060:25991	1097:29545	1101:49091	1107:27961
Bucket 108 [0.835938->0.84375]	579:42384	589:38001	959:17025	960:47109	1009:5805	1053:17204	1061:56105	1094:40162	1095:70269	1095:70286
Bucket 109 [0.84375->0.851562]	751:36692	755:55540	764:22131	915:7607	922:15964	929:24294	939:21795	1053:17187	1060:25974	1061:56088
Bucket 110 [0.851562->0.859375]	622:14224	623:44208	625:2871	627:62841	629:21509	630:51495	632:10167	633:40154	634:70141	636:28818
Bucket 111 [0.859375->0.867188]	639:17487	646:24831	656:20895	661:69586	670:35725	681:61911	686:9393	691:58150	919:26805	922:15925
Bucket 112 [0.867188->0.875]	742:70129	919:26807	920:56877	922:15927	927:65198	929:24257	935:2535	935:2536	1107:27965	1204:24848
Bucket 113 [0.875->0.882812]	420:46000	596:45171	920:56879	922:15923	922:15926	927:65200	929:24253	929:24256	932:13391	932:13394
Bucket 114 [0.882812->0.890625]	417:57680	426:22655	534:11431	744:28944	919:26803	919:26806	927:65196	927:65199	932:13430	936:32648
Bucket 115 [0.890625->0.898438]	600:63873	919:26800	920:56875	920:56878	922:15920	927:65194	927:65201	932:13395	936:32613	937:62725
Bucket 116 [0.898438->0.90625]	920:56872	927:65202	935:2534	946:30270	946:30275	946:30277	946:30281	959:17026	1001:68105	1060:25975
Bucket 117 [0.90625->0.914062]	922:15928	929:24258	932:13393	936:32611	1053:17188	1061:56089	1094:40146	1190:6243	1190:6244	1190:6245
Bucket 118 [0.914062->0.921875]	919:26808	920:56880	1190:6318	1190:6319	1192:66502	1194:25903	1195:56112	1201:35187	1201:35238	1201:35242
Bucket 119 [0.921875->0.929688]	332:52260	332:52261	939:21760	1195:56059	1195:56232	1201:35189	1201:35190	1201:35253	1201:35257	1201:35258
Bucket 120 [0.929688->0.9375]	919:26796	919:26801	920:56873	1191:36430	1192:66505	1195:56110	1195:56113	1195:56114	1195:56115	1195:56116
Bucket 121 [0.9375->0.945312]	920:56868	922:15929	929:24259	930:54378	1185:57249	1191:36433	1192:66498	1192:66557	1192:66637	1194:25906
Bucket 122 [0.945312->0.953125]	902:21194	902:21199	916:37687	930:54383	957:57863	1194:25958	1195:56058	1195:56064	1195:56065	1195:56128
Bucket 123 [0.953125->0.960938]	579:42378	752:66684	808:28191	812:47174	902:21133	902:21162	916:37706	919:26795	919:26809	930:54346
Bucket 124 [0.960938->0.96875]	182:39596	845:27036	916:37738	920:56881	930:54344	959:16963	959:17024	960:47047	960:47112	1009:5808
Bucket 125 [0.96875->0.976562]	182:39595	545:36911	579:42293	579:42303	579:42305	579:42310	579:42311	579:42317	579:42321	579:42324
Bucket 126 [0.976562->0.984375]	174:4000	192:33309	417:57677	546:66856	546:66857	548:25427	548:25429	548:25430	549:55389	549:55391
Bucket 127 [0.984375->0.992188]	210:62775	351:11359	352:41264	417:57673	420:45997	552:43912	579:42294	579:42297	579:42299	579:42300
Bucket 128 [0.992188->1]	127:24212	130:12074	338:28636	351:11360	447:42549	498:48316	508:43632	508:43633	511:32098	548:25417
Bucket 129 [1.]	893:53870	1308:36047	1327:4774	1657:16357	1720:14828	1985:22693	2031:16443	2048:31762	2054:13620	2067:7820
