Bucket 0 [0.]	0:110	0:113	0:121	0:130	0:138
Bucket 1 [0->0.00390625]	0:17	0:18	0:19	0:21	0:22
Bucket 2 [0.00390625->0.0078125]	0:10	0:11	0:12	0:13	0:14
Bucket 3 [0.0078125->0.0117188]	0:3	0:4	0:5	0:6	0:7
Bucket 4 [0.0117188->0.015625]	0:1	0:2	0:2095	0:7535	1:31896
Bucket 5 [0.015625->0.0195312]	0:3075	0:3464	0:3466	0:5791	1:32876
Bucket 6 [0.0195312->0.0234375]	0:1511	1:35592	2:62677	2:65393	7:6637
Bucket 7 [0.0234375->0.0273438]	1:31312	2:61113	4:18972	165:40231	199:39107
Bucket 8 [0.0273438->0.03125]	16:69900	18:27777	183:69478	183:69495	183:69505
Bucket 9 [0.03125->0.0351562]	183:69488	183:69513	183:69522	183:69549	183:69555
Bucket 10 [0.0351562->0.0390625]	1:29804	2:59605	212:20977	216:38810	216:38819
Bucket 11 [0.0390625->0.0429688]	14:10287	216:38846	216:38852	217:68655	217:68673
Bucket 12 [0.0429688->0.046875]	183:69466	217:68658	217:68660	346:64851	361:5937
Bucket 13 [0.046875->0.0507812]	440:35996	464:44411	464:44430	485:64685	495:59930
Bucket 14 [0.0507812->0.0546875]	220:56649	220:56661	220:56671	225:2815	268:68509
Bucket 15 [0.0546875->0.0585938]	16:69899	225:2806	225:2821	304:27384	332:52268
Bucket 16 [0.0585938->0.0625]	250:38529	305:57274	826:63964	845:27156	845:27190
Bucket 17 [0.0625->0.0664062]	8:34937	9:64740	103:19831	107:37486	256:14640
Bucket 18 [0.0664062->0.0703125]	101:61841	256:14642	349:53059	824:3876	824:3895
Bucket 19 [0.0703125->0.0742188]	8:34936	247:50473	256:14655	824:3401	880:67699
Bucket 20 [0.0742188->0.078125]	111:55150	260:32584	515:50526	824:3629	825:33445
Bucket 21 [0.078125->0.0820312]	161:22458	260:32597	304:27378	826:63489	892:24638
Bucket 22 [0.0820312->0.0859375]	305:57268	307:15525	1164:30280	1164:31761	1164:31783
Bucket 23 [0.0859375->0.0898438]	304:27377	498:48372	505:55224	527:4505	556:62433
Bucket 24 [0.0898438->0.09375]	1:29803	257:44524	263:20668	440:35994	495:59928
Bucket 25 [0.09375->0.0976562]	244:62431	261:62470	464:44409	485:64683	495:59887
Bucket 26 [0.0976562->0.101562]	251:68402	485:64696	485:64697	495:59870	500:6886
Bucket 27 [0.101562->0.105469]	264:50540	440:36007	440:36008	485:64620	495:59867
Bucket 28 [0.105469->0.109375]	440:35931	495:59908	495:59910	846:57518	1048:68707
Bucket 29 [0.109375->0.113281]	249:8669	251:68408	464:44368	514:20578	556:62446
Bucket 30 [0.113281->0.117188]	440:35909	440:35944	464:44351	477:27911	502:66719
Bucket 31 [0.117188->0.121094]	247:50483	464:44339	464:44348	464:44349	464:44353
Bucket 32 [0.121094->0.125]	485:64633	498:48322	500:6823	505:55174	824:3445
Bucket 33 [0.125->0.128906]	514:20599	514:20601	514:20602	907:70384	1110:17375
Bucket 34 [0.128906->0.132812]	447:42607	447:42648	449:1042	449:1083	532:52885
Bucket 35 [0.132812->0.136719]	439:6067	447:42656	449:1091	761:33260	797:1268
Bucket 36 [0.136719->0.140625]	106:7652	144:23265	439:6026	439:6075	447:42777
Bucket 37 [0.140625->0.144531]	752:66686	824:3850	824:3998	824:6077	825:33933
Bucket 38 [0.144531->0.148438]	439:6196	788:34474	788:34477	799:61330	824:3889
Bucket 39 [0.148438->0.152344]	788:34572	797:1260	797:1282	797:1284	824:3763
Bucket 40 [0.152344->0.15625]	539:59858	539:59862	539:59863	758:44395	761:33263
Bucket 41 [0.15625->0.160156]	599:33882	824:3642	824:3649	824:3662	825:33693
Bucket 42 [0.160156->0.164062]	607:71071	752:66682	788:34498	788:34573	825:33666
Bucket 43 [0.164062->0.167969]	599:33888	752:66689	788:34472	824:3622	826:63506
Bucket 44 [0.167969->0.171875]	283:9004	283:9010	788:34476	824:3841	825:33711
Bucket 45 [0.171875->0.175781]	558:21125	607:71065	748:47815	788:34497	794:12337
Bucket 46 [0.175781->0.179688]	202:27134	825:32971	826:63707	846:57988	886:45751
Bucket 47 [0.179688->0.183594]	596:45279	797:1277	824:2927	833:71006	852:35072
Bucket 48 [0.183594->0.1875]	542:48526	602:22494	748:47809	825:33130	833:71007
Bucket 49 [0.1875->0.191406]	595:15303	744:28953	824:3086	846:57790	846:57954
Bucket 50 [0.191406->0.195312]	797:1276	846:57692	846:57709	846:57951	846:57964
Bucket 51 [0.195312->0.199219]	36:55708	542:48530	558:21117	596:45286	760:3233
Bucket 52 [0.199219->0.203125]	400:56323	596:45283	744:28947	747:17794	824:3077
Bucket 53 [0.203125->0.207031]	229:20710	613:48314	797:1267	797:1363	797:1395
Bucket 54 [0.207031->0.210938]	295:63004	295:63010	317:9890	613:48320	747:17788
Bucket 55 [0.210938->0.214844]	542:48419	542:48517	596:45277	602:22492	797:1250
Bucket 56 [0.214844->0.21875]	797:1328	797:1329	797:1425	797:1433	797:1438
Bucket 57 [0.21875->0.222656]	542:48522	595:15310	602:22501	761:33265	788:34507
Bucket 58 [0.222656->0.226562]	463:14393	542:48523	596:45290	602:22498	788:34493
Bucket 59 [0.226562->0.230469]	532:52922	546:66987	552:44042	554:2613	595:15305
Bucket 60 [0.230469->0.234375]	402:14682	519:68990	546:66995	552:44050	554:2621
Bucket 61 [0.234375->0.238281]	399:26390	794:12296	811:17106	878:7439	878:7560
Bucket 62 [0.238281->0.242188]	797:1278	846:57726	846:57983	870:70482	878:7512
Bucket 63 [0.242188->0.246094]	761:33261	833:71002	870:70434	963:36296	977:53264
Bucket 64 [0.246094->0.25]	797:1271	852:35038	878:7476	878:7491	878:7493
Bucket 65 [0.25->0.253906]	376:48679	521:27493	595:15314	752:66687	788:34544
Bucket 66 [0.253906->0.257812]	329:64149	539:60013	861:2266	866:51306	866:51321
Bucket 67 [0.257812->0.261719]	477:27915	595:15195	758:44398	797:1251	797:1263
Bucket 68 [0.261719->0.265625]	797:1275	802:50292	805:39186	842:37975	849:46140
Bucket 69 [0.265625->0.269531]	283:8977	517:9202	788:34469	797:1274	797:1295
Bucket 70 [0.269531->0.273438]	464:44422	464:44423	797:1259	797:1484	849:46067
Bucket 71 [0.273438->0.277344]	514:20632	514:20633	517:9062	546:66904	552:43959
Bucket 72 [0.277344->0.28125]	532:53029	558:21034	595:15191	755:55537	788:34510
Bucket 73 [0.28125->0.285156]	389:31644	599:33895	794:12301	794:12304	805:39174
Bucket 74 [0.285156->0.289062]	788:34492	799:61313	835:30016	861:2321	868:10377
Bucket 75 [0.289062->0.292969]	595:15312	740:10114	752:66680	794:12399	802:50320
Bucket 76 [0.292969->0.296875]	471:51084	613:48318	799:61364	866:51416	868:10443
Bucket 77 [0.296875->0.300781]	244:62441	595:15297	802:50222	802:50225	811:17055
Bucket 78 [0.300781->0.304688]	542:48411	794:12334	794:12341	799:61290	861:2129
Bucket 79 [0.304688->0.308594]	542:48513	595:15298	833:71016	861:2197	861:2229
Bucket 80 [0.308594->0.3125]	517:9067	517:9071	517:9072	532:53046	542:48407
Bucket 81 [0.3125->0.316406]	464:44346	532:53033	596:45273	848:16154	848:16159
Bucket 82 [0.316406->0.320312]	202:27098	595:15309	782:56658	799:61289	799:61392
Bucket 83 [0.320312->0.324219]	495:59878	607:70967	794:12299	794:12325	794:12332
Bucket 84 [0.324219->0.328125]	517:9075	532:52935	595:15295	799:61294	801:20283
Bucket 85 [0.328125->0.332031]	532:53039	794:12295	797:1264	801:20255	866:51337
Bucket 86 [0.332031->0.335938]	532:53044	748:47822	801:20185	801:20188	802:50321
Bucket 87 [0.335938->0.339844]	372:30523	579:42272	592:26599	602:22488	744:28943
Bucket 88 [0.339844->0.34375]	612:18236	802:50246	866:51402	866:51458	872:29540
Bucket 89 [0.34375->0.347656]	592:26610	592:26620	592:26622	592:26627	592:26628
Bucket 90 [0.347656->0.351562]	517:9119	542:48514	546:67007	592:26611	592:26612
Bucket 91 [0.351562->0.355469]	552:44062	554:2633	595:15306	744:28960	862:32321
Bucket 92 [0.355469->0.359375]	468:62683	539:59910	596:45282	599:33878	801:20183
Bucket 93 [0.359375->0.363281]	542:48415	595:15301	617:66896	802:50224	836:61039
Bucket 94 [0.363281->0.367188]	788:34470	801:20208	836:60987	836:61005	836:61033
Bucket 95 [0.367188->0.371094]	485:64642	532:53027	532:53030	542:48521	595:15307
Bucket 96 [0.371094->0.375]	542:48528	595:15193	744:28956	794:12320	801:20187
Bucket 97 [0.375->0.378906]	500:6832	558:21137	599:33884	748:47811	764:22133
Bucket 98 [0.378906->0.382812]	440:35953	485:64625	498:48331	505:55183	542:48409
Bucket 99 [0.382812->0.386719]	440:35936	527:4487	527:4488	532:53035	532:53041
Bucket 100 [0.386719->0.390625]	500:6815	527:4485	747:17799	812:47099	849:46214
Bucket 101 [0.390625->0.394531]	502:66749	502:66751	502:66752	620:55564	707:31991
Bucket 102 [0.394531->0.398438]	498:48314	502:66713	517:9210	801:20218	801:20225
Bucket 103 [0.398438->0.402344]	471:51065	607:71067	616:37067	842:38042	848:15988
Bucket 104 [0.402344->0.40625]	768:41033	848:15972	848:16115	848:16120	848:16121
Bucket 105 [0.40625->0.410156]	474:39490	805:39253	808:28126	812:47100	812:47109
Bucket 106 [0.410156->0.414062]	592:26701	744:28951	802:50255	802:50262	808:28117
Bucket 107 [0.414062->0.417969]	468:62662	532:53037	602:22500	738:51290	799:61327
Bucket 108 [0.417969->0.421875]	805:39155	849:46198	873:59470	873:59507	878:7631
Bucket 109 [0.421875->0.425781]	599:33891	747:17793	848:16072	853:65118	873:59535
Bucket 110 [0.425781->0.429688]	744:28949	849:46039	861:2185	862:32315	870:70348
Bucket 111 [0.429688->0.433594]	542:48525	748:47813	849:46040	849:46048	849:46256
Bucket 112 [0.433594->0.4375]	311:33569	602:22486	620:55556	848:15987	848:15996
Bucket 113 [0.4375->0.441406]	824:3566	848:15985	849:46196	862:32217	862:32218
Bucket 114 [0.441406->0.445312]	596:45288	607:71074	849:46135	849:46167	862:32283
Bucket 115 [0.445312->0.449219]	532:52931	849:46046	861:2098	862:32252	862:32284
Bucket 116 [0.449219->0.453125]	450:30954	532:52925	596:45285	853:65128	866:51251
Bucket 117 [0.453125->0.457031]	532:53042	539:59993	607:71078	747:17796	750:6644
Bucket 118 [0.457031->0.460938]	602:22489	613:48310	755:55539	765:52157	826:63494
Bucket 119 [0.460938->0.464844]	613:48311	855:24114	862:32152	865:21239	866:51257
Bucket 120 [0.464844->0.46875]	517:9222	595:15199	599:33886	607:71069	760:3240
Bucket 121 [0.46875->0.472656]	450:30933	607:71076	842:37977	842:37984	869:40292
Bucket 122 [0.472656->0.476562]	532:52923	811:17069	811:17076	861:2111	868:10228
Bucket 123 [0.476562->0.480469]	824:3694	824:3700	848:15992	851:7747	856:54131
Bucket 124 [0.480469->0.484375]	824:3667	826:63762	848:15998	866:51240	866:51253
Bucket 125 [0.484375->0.488281]	824:3639	824:3647	883:56608	883:56720	883:56721
Bucket 126 [0.488281->0.492188]	502:66728	613:48308	738:51278	843:68820	862:32165
Bucket 127 [0.492188->0.496094]	849:46049	861:2102	862:32171	862:32173	862:32176
Bucket 128 [0.496094->0.5]	596:45271	596:45274	599:33784	613:48319	805:39188
