Bucket 0 [0.]	0:110	0:113	0:121	0:130	0:138	0:141	0:142	0:143	0:146	0:148
Bucket 1 [0->0.00195312]	0:29	0:30	0:31	0:32	0:34	0:35	0:36	0:37	0:38	0:39
Bucket 2 [0.00195312->0.00390625]	0:17	0:18	0:19	0:21	0:22	0:23	0:24	0:25	0:26	0:27
Bucket 3 [0.00390625->0.00585938]	0:10	0:11	0:16	0:20	0:2489	0:2655	0:2736	0:3300	0:3335	0:3456
Bucket 4 [0.00585938->0.0078125]	0:12	0:13	0:14	0:15	0:1312	0:1329	0:1814	0:1958	0:2031	0:3308
Bucket 5 [0.0078125->0.00976562]	0:5	0:6	0:7	0:8	0:9	0:1590	0:1828	0:1900	0:1932	0:2386
Bucket 6 [0.00976562->0.0117188]	0:3	0:4	0:1821	0:2044	0:2727	0:3488	0:3703	0:9502	0:10399	1:29806
Bucket 7 [0.0117188->0.0136719]	0:1	0:2	0:2095	0:7535	1:32528	1:33289	1:37336	1:39303	1:40200	2:62329
Bucket 8 [0.0136719->0.015625]	1:31896	2:61697	2:67137	7:8590	7:8592	12:58195	36:55709	36:55714	38:13618	39:43429
Bucket 9 [0.015625->0.0175781]	0:3075	0:3464	0:3466	4:20925	4:20927	5:48774	7:8201	7:10917	8:36440	9:66243
Bucket 10 [0.0175781->0.0195312]	0:5791	1:32876	1:33265	1:33267	2:63066	2:63068	4:20536	4:23252	165:40254	179:51681
Bucket 11 [0.0195312->0.0214844]	1:35592	2:62677	2:65393	7:6637	223:44664	223:44667	223:44669	223:44682	230:50582	236:26639
Bucket 12 [0.0214844->0.0234375]	0:1511	230:50556	233:38612	247:50491	267:38662	267:38675	271:56586	307:15558	463:14623	463:14625
Bucket 13 [0.0234375->0.0253906]	4:18972	165:40231	199:39107	199:39111	199:39114	230:50583	232:8714	233:38603	233:38639	233:38645
Bucket 14 [0.0253906->0.0273438]	1:31312	2:61113	216:38802	229:20691	232:8702	236:26605	257:44541	290:15128	300:9358	304:27406
Bucket 15 [0.0273438->0.0292969]	183:69505	202:27115	216:38775	217:68632	253:26594	266:8788	294:33101	294:33110	310:3693	440:36013
Bucket 16 [0.0292969->0.03125]	16:69900	18:27777	183:69478	183:69495	208:3065	216:38785	216:38792	225:2852	242:2689	249:8670
Bucket 17 [0.03125->0.0332031]	183:69488	183:69513	225:2869	237:56481	242:2680	242:2695	250:38596	285:68739	305:57270	338:28639
Bucket 18 [0.0332031->0.0351562]	183:69522	183:69549	183:69555	250:38576	250:38580	250:38581	266:8780	266:8784	266:8785	266:8800
Bucket 19 [0.0351562->0.0371094]	1:29804	2:59605	266:8792	290:15113	290:15126	336:70356	344:5046	806:69243	826:63533	826:63635
Bucket 20 [0.0371094->0.0390625]	212:20977	216:38810	216:38819	233:38595	250:38588	332:52276	338:28651	339:58551	484:34687	583:60904
Bucket 21 [0.0390625->0.0410156]	14:10287	216:38846	216:38852	225:2799	233:38578	250:38598	266:8802	368:12322	510:2169	517:9261
Bucket 22 [0.0410156->0.0429688]	217:68655	217:68673	233:38585	349:53057	750:6683	828:21966	851:5764	1051:58266	1091:50758	1091:50759
Bucket 23 [0.0429688->0.0449219]	183:69466	217:68658	539:60052	843:68721	845:27441	851:5779	892:24710	943:41398	994:59546	1091:50813
Bucket 24 [0.0449219->0.046875]	217:68660	346:64851	361:5937	585:19430	585:19449	588:8029	588:8030	851:5468	880:67675	1001:68125
Bucket 25 [0.046875->0.0488281]	485:64685	495:59930	495:59949	498:48374	500:6875	502:66771	505:55226	514:20621	527:4507	556:62435
Bucket 26 [0.0488281->0.0507812]	440:35996	464:44411	464:44430	514:20640	527:4526	824:3630	892:24402	892:26479	892:26803	1070:24666
Bucket 27 [0.0507812->0.0527344]	220:56649	220:56671	225:2815	498:48393	500:6894	502:66790	505:55245	806:69207	836:61014	838:19953
Bucket 28 [0.0527344->0.0546875]	220:56661	268:68509	440:36015	485:64704	556:62454	559:50995	561:9575	845:27755	892:24379	892:25424
Bucket 29 [0.0546875->0.0566406]	16:69899	225:2806	332:52268	338:28643	339:58543	831:10908	832:40959	1051:58595	1114:37396	1114:37434
Bucket 30 [0.0566406->0.0585938]	225:2821	304:27384	843:68967	845:27770	943:41727	994:59533	1013:25142	1014:55242	1017:44513	1019:3687
Bucket 31 [0.0585938->0.0605469]	845:27459	880:67662	943:41416	1013:25376	1014:55476	1017:44747	1019:3921	1020:34023	1021:64125	1023:23304
Bucket 32 [0.0605469->0.0625]	250:38529	305:57274	826:63964	845:27156	845:27190	892:24001	943:41113	943:41147	994:59767	1127:27899
Bucket 33 [0.0625->0.0644531]	8:34937	9:64740	103:19831	107:37486	256:14640	880:67896	1057:37405	1127:25222	1127:25623	1153:1626
Bucket 34 [0.0644531->0.0664062]	332:52278	338:28653	339:58553	825:33920	826:63983	892:27084	994:59623	1013:25188	1013:25197	1013:25198
Bucket 35 [0.0664062->0.0683594]	101:61841	349:53059	824:3876	824:3895	825:33674	825:33939	831:10959	892:25946	892:26338	994:59579
Bucket 36 [0.0683594->0.0703125]	256:14642	826:63717	839:49020	880:67752	946:30200	946:30201	946:30203	946:30204	946:30205	946:30206
Bucket 37 [0.0703125->0.0722656]	8:34936	880:67704	880:67708	880:67717	880:67718	880:67750	892:26273	946:30187	1070:24665	1127:25217
Bucket 38 [0.0722656->0.0742188]	247:50473	256:14655	824:3401	880:67699	880:67700	880:67705	880:67707	880:67711	880:67715	880:67716
Bucket 39 [0.0742188->0.0761719]	515:50526	824:3629	825:33445	880:67583	892:23994	946:30245	1048:68851	1078:63630	1131:44405	1164:29643
Bucket 40 [0.0761719->0.078125]	111:55150	260:32584	825:33673	892:25035	892:25825	892:26126	1001:68346	1057:37158	1078:63402	1127:26934
Bucket 41 [0.078125->0.0800781]	260:32597	304:27378	826:63489	892:24638	1057:36930	1127:26239	1164:31588	1524:15922	1524:15935	1574:18582
Bucket 42 [0.0800781->0.0820312]	161:22458	1164:31980	1174:29048	1174:29146	1174:30163	1174:30464	1524:15469	1524:15471	1582:59595	1714:35776
Bucket 43 [0.0820312->0.0839844]	305:57268	307:15525	1174:28717	1524:15563	1524:15635	1582:59348	1714:35603	1728:56350	1747:29787	1996:60365
Bucket 44 [0.0839844->0.0859375]	1164:30280	1164:31761	1164:31783	1174:31110	1384:13124	1714:34367	1728:56597	1803:19204	1846:18134	1866:22712
Bucket 45 [0.0859375->0.0878906]	304:27377	787:4513	1048:68672	1164:30352	1384:13022	1524:15303	1714:35930	1714:36429	1847:48241	1847:48430
Bucket 46 [0.0878906->0.0898438]	498:48372	505:55224	527:4505	556:62433	559:50974	561:9554	585:19441	585:19442	1001:68150	1001:68154
Bucket 47 [0.0898438->0.0917969]	1:29803	440:35994	500:6873	946:30225	1001:68149	1001:68157	1714:35783	1728:56571	1728:56616	1851:69560
Bucket 48 [0.0917969->0.09375]	257:44524	263:20668	495:59928	946:30192	946:30232	1104:38540	1164:30049	1174:29762	1582:59569	1582:59665
Bucket 49 [0.09375->0.0957031]	485:64683	502:66769	1164:30677	1164:31467	1164:31915	1325:45249	1524:15351	1545:47264	1582:59482	1582:59485
Bucket 50 [0.0957031->0.0976562]	244:62431	261:62470	464:44409	495:59887	514:20619	527:4518	527:4519	842:37980	1103:8366	1164:31768
Bucket 51 [0.0976562->0.0996094]	495:59870	502:66782	502:66783	619:25599	843:68986	1170:8940	1170:9067	1582:59335	1582:59361	1582:59396
Bucket 52 [0.0996094->0.101562]	251:68402	485:64696	485:64697	500:6886	500:6887	805:39191	811:17072	826:63718	841:7931	1081:52535
Bucket 53 [0.101562->0.103516]	440:36007	440:36008	485:64620	495:59867	495:59872	498:48385	498:48386	505:55237	505:55238	785:45826
Bucket 54 [0.103516->0.105469]	264:50540	495:59868	495:59911	843:68536	843:68638	1058:66776	1058:66777	1058:66778	1058:66782	1058:66789
Bucket 55 [0.105469->0.107422]	440:35931	495:59908	495:59910	846:57518	1058:66757	1058:66758	1058:66762	1058:66763	1058:66765	1058:66766
Bucket 56 [0.107422->0.109375]	1048:68707	1114:37485	1519:65612	1728:56373	1728:56562	1851:69402	1866:22621	2008:23767	2094:27027	2113:3656
Bucket 57 [0.109375->0.111328]	464:44368	556:62446	556:62447	559:50987	559:50988	561:9567	561:9568	846:57732	1048:68705	1070:24583
Bucket 58 [0.111328->0.113281]	249:8669	251:68408	514:20578	788:34468	859:43186	1070:24765	1559:67982	1582:59291	1582:59371	1614:22172
Bucket 59 [0.113281->0.115234]	464:44351	1070:24481	1384:15654	1519:65411	1519:65424	1545:46902	1554:16975	1559:67941	1582:59358	1582:59366
Bucket 60 [0.115234->0.117188]	440:35909	440:35944	477:27911	502:66719	1164:30021	1384:13427	1519:65378	1519:65439	1524:15089	1524:15930
Bucket 61 [0.117188->0.119141]	247:50483	464:44339	464:44348	464:44353	515:50536	825:33489	825:33591	1057:37076	1078:63730	1081:52488
Bucket 62 [0.119141->0.121094]	464:44349	464:44389	464:44391	464:44392	824:3729	825:33773	843:68492	1070:24912	1078:63548	1164:31066
Bucket 63 [0.121094->0.123047]	485:64633	498:48322	500:6823	505:55174	824:3445	824:3547	829:52043	1057:37258	1081:52503	1384:13143
Bucket 64 [0.123047->0.125]	1057:36974	1078:63446	1083:11741	1384:13271	1384:13277	1384:13340	1384:13343	1519:65706	1524:15092	1524:15869
Bucket 65 [0.125->0.126953]	514:20599	514:20601	514:20602	1384:13149	1384:13193	1384:13203	1384:13216	1384:13224	1384:13229	1384:13244
Bucket 66 [0.126953->0.128906]	907:70384	1110:17375	1170:9372	1384:13219	1384:13260	1544:16729	1559:67632	1559:67731	1741:48787	1756:3018
Bucket 67 [0.128906->0.130859]	447:42607	449:1042	532:52885	808:28163	812:47146	855:24051	859:43127	1070:24886	1070:25034	1384:13226
Bucket 68 [0.130859->0.132812]	447:42648	449:1083	1070:24342	1070:27113	1559:67717	1559:67825	1559:67826	1559:67827	1559:67828	1559:67829
