Bucket 0 [0.]	0:110
Bucket 130 [0.251953->0.253906]	521:27493
Bucket 131 [0.253906->0.255859]	539:60013
Bucket 132 [0.255859->0.257812]	329:64149
Bucket 133 [0.257812->0.259766]	477:27915
Bucket 134 [0.259766->0.261719]	758:44398
Bucket 135 [0.261719->0.263672]	849:46140
Bucket 136 [0.263672->0.265625]	797:1275
Bucket 137 [0.265625->0.267578]	788:34469
Bucket 138 [0.267578->0.269531]	283:8977
Bucket 139 [0.269531->0.271484]	797:1259
Bucket 140 [0.271484->0.273438]	464:44422
Bucket 141 [0.273438->0.275391]	546:66904
Bucket 142 [0.275391->0.277344]	514:20632
Bucket 143 [0.277344->0.279297]	558:21034
Bucket 144 [0.279297->0.28125]	532:53029
Bucket 145 [0.28125->0.283203]	861:2325
Bucket 146 [0.283203->0.285156]	389:31644
Bucket 147 [0.285156->0.287109]	799:61313
Bucket 148 [0.287109->0.289062]	788:34492
Bucket 149 [0.289062->0.291016]	595:15312
Bucket 150 [0.291016->0.292969]	740:10114
Bucket 151 [0.292969->0.294922]	471:51084
Bucket 152 [0.294922->0.296875]	868:10531
Bucket 153 [0.296875->0.298828]	802:50225
Bucket 154 [0.298828->0.300781]	244:62441
Bucket 155 [0.300781->0.302734]	861:2129
Bucket 156 [0.302734->0.304688]	542:48411
Bucket 157 [0.304688->0.306641]	595:15298
Bucket 158 [0.306641->0.308594]	542:48513
Bucket 159 [0.308594->0.310547]	517:9067
Bucket 160 [0.310547->0.3125]	532:53046
Bucket 161 [0.3125->0.314453]	596:45273
Bucket 162 [0.314453->0.316406]	464:44346
Bucket 163 [0.316406->0.318359]	202:27098
Bucket 164 [0.318359->0.320312]	595:15309
Bucket 165 [0.320312->0.322266]	607:70967
Bucket 166 [0.322266->0.324219]	495:59878
Bucket 167 [0.324219->0.326172]	595:15295
Bucket 168 [0.326172->0.328125]	517:9075
Bucket 169 [0.328125->0.330078]	797:1264
Bucket 170 [0.330078->0.332031]	532:53039
Bucket 171 [0.332031->0.333984]	532:53044
Bucket 172 [0.333984->0.335938]	870:70349
Bucket 173 [0.335938->0.337891]	866:51302
Bucket 174 [0.337891->0.339844]	372:30523
Bucket 175 [0.339844->0.341797]	612:18236
Bucket 176 [0.341797->0.34375]	866:51458
Bucket 177 [0.34375->0.345703]	794:12324
Bucket 178 [0.345703->0.347656]	592:26610
Bucket 179 [0.347656->0.349609]	592:26611
Bucket 180 [0.349609->0.351562]	517:9119
Bucket 181 [0.351562->0.353516]	552:44062
Bucket 182 [0.353516->0.355469]	744:28960
Bucket 183 [0.355469->0.357422]	468:62683
Bucket 184 [0.357422->0.359375]	596:45282
Bucket 185 [0.359375->0.361328]	617:66896
Bucket 186 [0.361328->0.363281]	542:48415
Bucket 187 [0.363281->0.365234]	836:61005
Bucket 188 [0.365234->0.367188]	788:34470
Bucket 189 [0.367188->0.369141]	532:53030
Bucket 190 [0.369141->0.371094]	485:64642
Bucket 191 [0.371094->0.373047]	542:48528
Bucket 192 [0.373047->0.375]	794:12320
Bucket 193 [0.375->0.376953]	764:22133
Bucket 194 [0.376953->0.378906]	500:6832
Bucket 195 [0.378906->0.380859]	498:48331
Bucket 196 [0.380859->0.382812]	440:35953
Bucket 197 [0.382812->0.384766]	440:35936
Bucket 198 [0.384766->0.386719]	527:4487
Bucket 199 [0.386719->0.388672]	527:4485
Bucket 200 [0.388672->0.390625]	500:6815
Bucket 201 [0.390625->0.392578]	502:66749
Bucket 202 [0.392578->0.394531]	707:31991
Bucket 203 [0.394531->0.396484]	517:9210
Bucket 204 [0.396484->0.398438]	498:48314
Bucket 205 [0.398438->0.400391]	471:51065
Bucket 206 [0.400391->0.402344]	842:38042
Bucket 207 [0.402344->0.404297]	848:15972
Bucket 208 [0.404297->0.40625]	768:41033
Bucket 209 [0.40625->0.408203]	474:39490
Bucket 210 [0.408203->0.410156]	805:39253
Bucket 211 [0.410156->0.412109]	744:28951
Bucket 212 [0.412109->0.414062]	592:26701
Bucket 213 [0.414062->0.416016]	468:62662
Bucket 214 [0.416016->0.417969]	799:61334
Bucket 215 [0.417969->0.419922]	805:39155
Bucket 216 [0.419922->0.421875]	878:7631
Bucket 217 [0.421875->0.423828]	873:59535
Bucket 218 [0.423828->0.425781]	599:33891
Bucket 219 [0.425781->0.427734]	744:28949
Bucket 220 [0.427734->0.429688]	849:46039
Bucket 221 [0.429688->0.431641]	542:48525
Bucket 222 [0.431641->0.433594]	748:47813
Bucket 223 [0.433594->0.435547]	311:33569
Bucket 224 [0.435547->0.4375]	602:22486
Bucket 225 [0.4375->0.439453]	824:3566
Bucket 226 [0.439453->0.441406]	848:15985
Bucket 227 [0.441406->0.443359]	607:71074
Bucket 228 [0.443359->0.445312]	596:45288
Bucket 229 [0.445312->0.447266]	532:52931
Bucket 230 [0.447266->0.449219]	849:46046
Bucket 231 [0.449219->0.451172]	450:30954
Bucket 232 [0.451172->0.453125]	872:29323
Bucket 233 [0.453125->0.455078]	532:53042
Bucket 234 [0.455078->0.457031]	539:59993
Bucket 235 [0.457031->0.458984]	755:55539
Bucket 236 [0.458984->0.460938]	602:22489
Bucket 237 [0.460938->0.462891]	855:24114
Bucket 238 [0.462891->0.464844]	613:48311
Bucket 239 [0.464844->0.466797]	517:9222
Bucket 240 [0.466797->0.46875]	607:71069
Bucket 241 [0.46875->0.470703]	607:71076
Bucket 242 [0.470703->0.472656]	450:30933
Bucket 243 [0.472656->0.474609]	868:10228
Bucket 244 [0.474609->0.476562]	532:52923
Bucket 245 [0.476562->0.478516]	824:3694
Bucket 246 [0.478516->0.480469]	851:7747
Bucket 247 [0.480469->0.482422]	848:15998
Bucket 248 [0.482422->0.484375]	824:3667
Bucket 249 [0.484375->0.486328]	824:3647
Bucket 250 [0.486328->0.488281]	824:3639
Bucket 251 [0.488281->0.490234]	869:40286
Bucket 252 [0.490234->0.492188]	502:66728
Bucket 253 [0.492188->0.494141]	861:2102
Bucket 254 [0.494141->0.496094]	849:46049
Bucket 255 [0.496094->0.498047]	596:45274
Bucket 256 [0.498047->0.5]	596:45271
Bucket 257 [0.5->0.501953]	758:44400
Bucket 258 [0.501953->0.503906]	539:60001
Bucket 259 [0.503906->0.505859]	849:46047
Bucket 260 [0.505859->0.507812]	849:46051
Bucket 261 [0.507812->0.509766]	861:2109
Bucket 262 [0.509766->0.511719]	866:51263
Bucket 263 [0.511719->0.513672]	378:6985
Bucket 264 [0.513672->0.515625]	861:2113
Bucket 265 [0.515625->0.517578]	848:15999
Bucket 266 [0.517578->0.519531]	546:66860
Bucket 267 [0.519531->0.521484]	407:62839
Bucket 268 [0.521484->0.523438]	203:56942
Bucket 269 [0.523438->0.525391]	873:59385
Bucket 270 [0.525391->0.527344]	607:71059
Bucket 271 [0.527344->0.529297]	760:3238
Bucket 272 [0.529297->0.53125]	872:29320
Bucket 273 [0.53125->0.533203]	205:15064
Bucket 274 [0.533203->0.535156]	407:62862
Bucket 275 [0.535156->0.537109]	878:7418
Bucket 276 [0.537109->0.539062]	532:52927
Bucket 277 [0.539062->0.541016]	405:2999
Bucket 278 [0.541016->0.542969]	396:38146
Bucket 279 [0.542969->0.544922]	882:26537
Bucket 280 [0.544922->0.546875]	396:38098
Bucket 281 [0.546875->0.548828]	396:38123
Bucket 282 [0.548828->0.550781]	378:6983
Bucket 283 [0.550781->0.552734]	288:56913
Bucket 284 [0.552734->0.554688]	440:35934
Bucket 285 [0.554688->0.556641]	399:26381
Bucket 286 [0.556641->0.558594]	405:3011
Bucket 287 [0.558594->0.560547]	416:27762
Bucket 288 [0.560547->0.5625]	376:48646
Bucket 289 [0.5625->0.564453]	848:15981
Bucket 290 [0.564453->0.566406]	747:17790
Bucket 291 [0.566406->0.568359]	397:68036
Bucket 292 [0.568359->0.570312]	500:6855
Bucket 293 [0.570312->0.572266]	500:6853
Bucket 294 [0.572266->0.574219]	869:40291
Bucket 295 [0.574219->0.576172]	869:40283
Bucket 296 [0.576172->0.578125]	440:35933
Bucket 297 [0.578125->0.580078]	498:48352
Bucket 298 [0.580078->0.582031]	380:66809
Bucket 299 [0.582031->0.583984]	410:51145
Bucket 300 [0.583984->0.585938]	861:2100
Bucket 301 [0.585938->0.587891]	862:32178
Bucket 302 [0.587891->0.589844]	606:41012
Bucket 303 [0.589844->0.591797]	606:40994
Bucket 304 [0.591797->0.59375]	288:56917
Bucket 305 [0.59375->0.595703]	606:40995
Bucket 306 [0.595703->0.597656]	599:33780
Bucket 307 [0.597656->0.599609]	288:56915
Bucket 308 [0.599609->0.601562]	397:68021
Bucket 309 [0.601562->0.603516]	536:71343
Bucket 310 [0.603516->0.605469]	873:59390
Bucket 311 [0.605469->0.607422]	405:3022
Bucket 312 [0.607422->0.609375]	613:48327
Bucket 313 [0.609375->0.611328]	799:61317
Bucket 314 [0.611328->0.613281]	848:15991
Bucket 315 [0.613281->0.615234]	412:9511
Bucket 316 [0.615234->0.617188]	885:15600
Bucket 317 [0.617188->0.619141]	490:11556
Bucket 318 [0.619141->0.621094]	329:64107
Bucket 319 [0.621094->0.623047]	468:62664
Bucket 320 [0.623047->0.625]	861:2097
Bucket 321 [0.625->0.626953]	880:67617
Bucket 322 [0.626953->0.628906]	325:46014
Bucket 323 [0.628906->0.630859]	861:2123
Bucket 324 [0.630859->0.632812]	1841:67285
Bucket 325 [0.632812->0.634766]	1743:8416
Bucket 326 [0.634766->0.636719]	862:32163
Bucket 327 [0.636719->0.638672]	298:51124
Bucket 328 [0.638672->0.640625]	298:51138
Bucket 329 [0.640625->0.642578]	825:33616
Bucket 330 [0.642578->0.644531]	308:45420
Bucket 331 [0.644531->0.646484]	397:68018
Bucket 332 [0.646484->0.648438]	532:53038
Bucket 333 [0.648438->0.650391]	542:48406
Bucket 334 [0.650391->0.652344]	872:29326
Bucket 335 [0.652344->0.654297]	930:54411
Bucket 336 [0.654297->0.65625]	747:17797
Bucket 337 [0.65625->0.658203]	873:59383
Bucket 338 [0.658203->0.660156]	318:39770
Bucket 339 [0.660156->0.662109]	916:37771
Bucket 340 [0.662109->0.664062]	760:3236
Bucket 341 [0.664062->0.666016]	805:39178
Bucket 342 [0.666016->0.667969]	805:39157
Bucket 343 [0.667969->0.669922]	797:1416
Bucket 344 [0.669922->0.671875]	485:64622
Bucket 345 [0.671875->0.673828]	1133:3720
Bucket 346 [0.673828->0.675781]	1727:25987
Bucket 347 [0.675781->0.677734]	485:64623
Bucket 348 [0.677734->0.679688]	797:1368
Bucket 349 [0.679688->0.681641]	484:34686
Bucket 350 [0.681641->0.683594]	1827:44008
Bucket 351 [0.683594->0.685547]	842:38043
Bucket 352 [0.685547->0.6875]	484:34704
Bucket 353 [0.6875->0.689453]	450:30931
Bucket 354 [0.689453->0.691406]	1108:58086
Bucket 355 [0.691406->0.693359]	748:47817
Bucket 356 [0.693359->0.695312]	1743:8514
Bucket 357 [0.695312->0.697266]	1272:58753
Bucket 358 [0.697266->0.699219]	836:60918
Bucket 359 [0.699219->0.701172]	744:28955
Bucket 360 [0.701172->0.703125]	801:20181
Bucket 361 [0.703125->0.705078]	508:43655
Bucket 362 [0.705078->0.707031]	613:48323
Bucket 363 [0.707031->0.708984]	964:66370
Bucket 364 [0.708984->0.710938]	450:30935
Bucket 365 [0.710938->0.712891]	464:44359
Bucket 366 [0.712891->0.714844]	862:32166
Bucket 367 [0.714844->0.716797]	1272:58763
Bucket 368 [0.716797->0.71875]	747:17801
Bucket 369 [0.71875->0.720703]	886:45666
Bucket 370 [0.720703->0.722656]	959:17032
Bucket 371 [0.722656->0.724609]	1272:58689
Bucket 372 [0.724609->0.726562]	1060:25981
Bucket 373 [0.726562->0.728516]	1054:47306
Bucket 374 [0.728516->0.730469]	498:48312
Bucket 375 [0.730469->0.732422]	500:6817
Bucket 376 [0.732422->0.734375]	797:1332
Bucket 377 [0.734375->0.736328]	797:1347
Bucket 378 [0.736328->0.738281]	1097:29606
Bucket 379 [0.738281->0.740234]	959:17038
Bucket 380 [0.740234->0.742188]	599:33893
Bucket 381 [0.742188->0.744141]	959:17033
Bucket 382 [0.744141->0.746094]	1009:5813
Bucket 383 [0.746094->0.748047]	843:68707
Bucket 384 [0.748047->0.75]	1094:40153
Bucket 385 [0.75->0.751953]	1268:38814
Bucket 386 [0.751953->0.753906]	1190:6371
Bucket 387 [0.753906->0.755859]	843:68733
Bucket 388 [0.755859->0.757812]	1727:26089
Bucket 389 [0.757812->0.759766]	1268:38899
Bucket 390 [0.759766->0.761719]	484:34711
Bucket 391 [0.761719->0.763672]	1114:36920
Bucket 392 [0.763672->0.765625]	1237:11278
Bucket 393 [0.765625->0.767578]	845:27704
Bucket 394 [0.767578->0.769531]	602:22496
