Bucket 0 [0.0]	0:110	0:113	0:121	0:130	0:138
Bucket 1 [0.0->0.0009765625]	0:45	0:47	0:48	0:49	0:50
Bucket 2 [0.0009765625->0.001953125]	0:29	0:30	0:31	0:32	0:34
Bucket 3 [0.001953125->0.0029296875]	0:21	0:22	0:23	0:24	0:25
Bucket 4 [0.0029296875->0.00390625]	0:17	0:18	0:19	0:1857	0:1967
Bucket 5 [0.00390625->0.0048828125]	0:16	0:20	0:2736	0:3300	0:3335
Bucket 6 [0.0048828125->0.005859375]	0:10	0:11	0:2489	0:2655	1:10
Bucket 7 [0.005859375->0.0068359375]	0:12	0:13	0:14	0:1312	0:1958
Bucket 8 [0.0068359375->0.0078125]	0:15	0:1329	0:3308	0:3431	0:3446
Bucket 9 [0.0078125->0.0087890625]	0:9	0:1590	0:1828	0:1900	0:1932
Bucket 10 [0.0087890625->0.009765625]	0:5	0:6	0:7	0:8	0:2386
Bucket 11 [0.009765625->0.0107421875]	0:4	0:1821	0:2044	0:3703	2:1932
Bucket 12 [0.0107421875->0.01171875]	0:3	0:2727	0:3488	1:5	1:1821
Bucket 13 [0.01171875->0.0126953125]	0:1	0:2	3:2095	4:3075	4:3464
Bucket 14 [0.0126953125->0.013671875]	0:2095	1:2727	1:3488	2:2727	2:3488
Bucket 15 [0.013671875->0.0146484375]	1:2095	2:2095	27:34	117:192	117:236
Bucket 16 [0.0146484375->0.015625]	5:3464	5:3466	26:28	26:33	28:33
Bucket 17 [0.015625->0.0166015625]	0:3464	0:3466	3:3464	3:3466	5:3075
Bucket 18 [0.0166015625->0.017578125]	0:3075	4:1511	9:1511	15:1511	113:128
Bucket 19 [0.017578125->0.0185546875]	1:3464	1:3466	3:3075	117:153	127:168
Bucket 20 [0.0185546875->0.01953125]	1:3075	2:3464	2:3466	127:164	188:194
Bucket 21 [0.01953125->0.0205078125]	2:3075	5:1511	158:184	158:199	167:208
Bucket 22 [0.0205078125->0.021484375]	158:181	158:186	163:202	167:229	223:245
Bucket 23 [0.021484375->0.0224609375]	163:176	217:256	327:564	334:560	334:568
Bucket 24 [0.0224609375->0.0234375]	0:1511	165:209	175:200	189:238	189:251
Bucket 25 [0.0234375->0.0244140625]	3:1511	117:130	141:145	165:200	165:242
Bucket 26 [0.0244140625->0.025390625]	141:149	141:152	163:203	164:180	165:236
