Bucket 0 [0.0]	0:110	0:113	0:121	0:130	0:138
Bucket 79 [0.609375->0.6171875]	291:294	429:527	564:593	595:1557	595:1614
Bucket 80 [0.6171875->0.625]	233:266	331:335	346:370	582:1509	607:611
Bucket 81 [0.625->0.6328125]	230:244	607:637	621:701	624:631	696:757
Bucket 82 [0.6328125->0.640625]	211:230	211:244	218:225	582:1320	608:622
Bucket 83 [0.640625->0.6484375]	218:227	281:291	376:536	582:1240	613:635
Bucket 84 [0.6484375->0.65625]	383:420	527:540	593:669	595:1294	607:626
Bucket 85 [0.65625->0.6640625]	225:227	423:536	536:540	572:669	593:594
Bucket 86 [0.6640625->0.671875]	343:352	343:357	562:764	568:572	568:593
Bucket 87 [0.671875->0.6796875]	343:353	562:716	798:822	798:823	1214:1248
Bucket 88 [0.6796875->0.6875]	342:359	342:361	342:362	342:377	429:536
Bucket 89 [0.6875->0.6953125]	318:331	528:539	568:594	598:613	618:631
Bucket 90 [0.6953125->0.703125]	525:539	565:566	590:1523	591:1523	780:832
Bucket 91 [0.703125->0.7109375]	318:335	359:384	361:384	362:384	433:540
Bucket 92 [0.7109375->0.71875]	328:363	527:544	590:1377	591:1377	608:625
Bucket 93 [0.71875->0.7265625]	625:631	676:780	677:780	747:780	776:780
Bucket 94 [0.7265625->0.734375]	352:353	353:357	528:542	562:680	595:1345
Bucket 95 [0.734375->0.7421875]	423:542	562:695	562:697	581:760	676:786
Bucket 96 [0.7421875->0.75]	595:1284	676:781	677:781	711:781	711:786
Bucket 97 [0.75->0.7578125]	595:1310	838:1021	893:896	894:896	895:896
Bucket 98 [0.7578125->0.765625]	342:384	598:624	785:819	838:981	858:896
Bucket 99 [0.765625->0.7734375]	423:528	425:535	596:1333	598:635	838:840
Bucket 100 [0.7734375->0.78125]	359:377	361:377	362:377	433:533	533:544
Bucket 101 [0.78125->0.7890625]	665:1333	743:835	773:790	774:835	774:839
Bucket 102 [0.7890625->0.796875]	423:539	582:745	676:835	677:835	711:835
Bucket 103 [0.796875->0.8046875]	310:316	310:317	375:416	375:545	572:593
Bucket 104 [0.8046875->0.8125]	423:525	676:927	676:930	677:927	677:930
Bucket 105 [0.8125->0.8203125]	525:542	627:631	742:927	742:930	747:930
Bucket 106 [0.8203125->0.828125]	375:424	421:535	842:895	842:942	842:943
Bucket 107 [0.828125->0.8359375]	416:545	676:790	677:790	711:790	743:773
Bucket 108 [0.8359375->0.84375]	409:530	416:424	676:773	677:773	711:773
Bucket 109 [0.84375->0.8515625]	530:567	533:540	539:542	645:647	650:698
Bucket 110 [0.8515625->0.859375]	439:530	440:530	441:530	443:530	444:530
Bucket 111 [0.859375->0.8671875]	451:530	456:530	463:530	467:530	473:530
Bucket 112 [0.8671875->0.875]	524:530	648:661	649:659	650:661	654:659
Bucket 113 [0.875->0.8828125]	297:304	421:425	649:661	650:657	650:660
Bucket 114 [0.8828125->0.890625]	295:304	301:304	377:384	525:528	648:657
Bucket 115 [0.890625->0.8984375]	424:545	648:654	649:657	649:660	650:654
Bucket 116 [0.8984375->0.90625]	649:654	654:663	659:661	667:784	667:789
Bucket 117 [0.90625->0.9140625]	650:662	655:662	657:661	660:661	742:774
Bucket 118 [0.9140625->0.921875]	648:662	649:662	838:968	838:969	840:846
Bucket 119 [0.921875->0.9296875]	235:239	235:240	662:663	842:848	842:1021
Bucket 120 [0.9296875->0.9375]	648:650	648:655	649:655	839:927	840:849
Bucket 121 [0.9375->0.9453125]	649:650	650:663	655:663	656:707	835:839
Bucket 122 [0.9453125->0.953125]	636:707	636:712	646:656	656:712	675:707
Bucket 123 [0.953125->0.9609375]	409:524	531:537	570:668	573:668	636:646
Bucket 124 [0.9609375->0.96875]	129:137	596:665	646:707	649:663	656:673
Bucket 125 [0.96875->0.9765625]	129:136	385:406	409:439	409:449	409:451
Bucket 126 [0.9765625->0.984375]	123:124	136:137	295:301	386:390	386:391
Bucket 127 [0.984375->0.9921875]	149:152	248:249	249:250	295:297	297:301
Bucket 128 [0.9921875->1.0]	90:91	92:93	239:240	248:250	316:317
Bucket 128 [1.]	630:632	921:923	934:935	1165:1166	1209:1210
