Bucket 0 [0.]	0:20	0:319	0:694	0:833	0:1121	0:1232	0:1323	0:1327	0:1331	0:1332
Bucket 192 [0.746094->0.75]	607:45619	1369:12649	1423:13182	1426:52598	1523:50378	1548:9536	1656:26354	1656:26355	1656:26359	1656:26379
Bucket 193 [0.75->0.753906]	51:13152	60:21638	1585:27346	1604:9668	1613:27931	1635:50396	1643:21974	1645:14876	1648:54662	1650:47656
Bucket 194 [0.753906->0.757812]	47:32003	51:13143	53:3728	666:46318	1096:2883	1548:9496	1587:20248	1591:5806	1604:9753	1607:49375
Bucket 195 [0.757812->0.761719]	47:31994	53:3725	53:3726	56:40463	58:31049	1096:2909	1583:34532	1583:34617	1585:27431	1587:20163
Bucket 196 [0.761719->0.765625]	54:49880	98:46803	971:46238	1097:49558	1449:17956	1548:9414	1548:9417	1548:9418	1548:9419	1548:9420
Bucket 197 [0.765625->0.769531]	53:3729	53:3730	86:1284	93:19350	95:9990	1101:33058	1548:9355	1548:9368	1548:9369	1611:35161
Bucket 198 [0.769531->0.773438]	51:13149	60:21635	89:38079	97:633	628:6095	768:20810	781:17074	796:5117	1097:49520	1548:9359
Bucket 199 [0.773438->0.777344]	47:32000	91:28714	777:33792	981:5873	1101:33069	1548:9356	1548:9358	1548:9432	1548:9436	1548:9438
Bucket 200 [0.777344->0.78125]	56:40458	58:31046	86:1280	89:38075	91:28710	91:28711	91:28712	604:7877	1548:9416	1553:41921
Bucket 201 [0.78125->0.785156]	47:31996	51:13145	56:40457	56:40460	558:3930	1225:55618	1426:52549	1536:52839	1551:49079	1551:49080
Bucket 202 [0.785156->0.789062]	47:31995	51:13144	54:49875	54:49877	548:47375	558:3929	1428:45178	1428:45182	1548:9558	1548:9560
Bucket 203 [0.789062->0.792969]	47:32001	51:13150	51:13151	54:49874	60:21636	60:21637	267:29185	545:9711	659:25502	663:8433
Bucket 204 [0.792969->0.796875]	47:32002	267:29184	267:29187	271:10974	541:27124	541:27131	545:9718	552:29990	688:54121	1311:29414
Bucket 205 [0.796875->0.800781]	58:31047	58:31048	269:20078	271:10973	271:10976	541:27130	545:9717	552:29997	1053:20964	1071:50740
Bucket 206 [0.800781->0.804688]	53:3724	56:40461	56:40462	269:20077	269:20080	552:29996	569:6929	688:54250	1246:24854	1248:17175
Bucket 207 [0.804688->0.808594]	1:46127	53:3723	54:49878	54:49879	569:6928	1246:24942	1246:24945	1248:17263	1248:17266	1369:12703
Bucket 208 [0.808594->0.8125]	777:33789	1378:29576	1380:21999	1428:45133	1432:30450	1555:34620	1557:27365	1557:27371	1557:27375	1557:27377
Bucket 209 [0.8125->0.816406]	855:13670	895:51761	966:15851	1369:12795	1369:12798	1378:29573	1380:22087	1380:22090	1423:13328	1423:13331
Bucket 210 [0.816406->0.820312]	688:54129	720:19910	773:50536	901:27194	903:19011	907:2654	908:49193	910:41020	912:32850	914:24683
Bucket 211 [0.820312->0.824219]	558:3923	1155:23302	1555:34546	1555:34593	1555:34594	1555:34595	1555:34599	1555:34601	1568:38071	1568:38072
Bucket 212 [0.824219->0.828125]	1246:24805	1248:17126	1432:30310	1555:34508	1555:34510	1555:34511	1555:34513	1555:34518	1555:34582	1555:34587
Bucket 213 [0.828125->0.832031]	1311:29365	1371:5159	1378:29436	1380:21950	1551:49105	1555:34514	1555:34516	1555:34517	1555:34520	1555:34585
Bucket 214 [0.832031->0.835938]	764:37583	1369:12658	1423:13191	1425:5771	1439:55019	1439:55022	1451:10590	1555:34509	1555:34512	1555:34519
Bucket 215 [0.835938->0.839844]	1371:5142	1426:52533	1439:54927	1441:47530	1555:34536	1555:34541	1559:20191	1561:12970	1563:5698	1563:5701
Bucket 216 [0.839844->0.84375]	751:41462	764:37462	1311:29348	1548:9363	1553:41872	1557:27415	1563:5618	1563:5620	1563:5621	1563:5623
Bucket 217 [0.84375->0.847656]	91:28713	1246:24788	1248:17109	1425:5754	1426:52535	1451:10682	1451:10685	1563:5619	1563:5622	1563:5624
Bucket 218 [0.847656->0.851562]	64:2825	273:1873	274:48124	981:5869	992:12149	1369:12641	1378:29419	1441:47622	1441:47625	1587:20139
Bucket 219 [0.851562->0.855469]	809:1637	814:31502	818:14885	820:6581	827:28189	834:49830	836:41549	844:8455	847:46700	849:38438
Bucket 220 [0.855469->0.859375]	810:48131	816:23192	821:53080	823:44780	831:11610	833:3325	842:16724	845:54965	857:5420	868:10736
Bucket 221 [0.859375->0.863281]	807:9957	825:36483	840:24996	864:27207	866:18970	870:2505	877:24355	884:46238	890:21623	897:43569
Bucket 222 [0.863281->0.867188]	829:19898	838:33271	851:30179	858:51936	1196:15470	1207:23378	1441:47534	1451:10545	1566:45380	1579:49161
Bucket 223 [0.867188->0.871094]	1198:7679	1205:31156	1222:16012	1439:54931	1441:47485	1566:45288	1566:45291	1566:45292	1566:45293	1566:45294
Bucket 224 [0.871094->0.875]	964:23930	1181:23280	1194:23186	1196:15431	1205:31117	1551:49014	1566:45246	1566:45248	1566:45249	1566:45251
Bucket 225 [0.875->0.878906]	18:16401	768:20700	1194:23188	1198:7681	1207:23380	1214:46863	1551:48962	1553:41781	1566:45240	1566:45252
Bucket 226 [0.878906->0.882812]	241:46219	241:46220	545:9705	773:50426	1196:15433	1205:31119	1207:23376	1214:46860	1214:46862	1214:46898
Bucket 227 [0.882812->0.886719]	65:48979	67:39578	966:15837	1198:7677	1198:7680	1207:23379	1211:7909	1211:7912	1216:39136	1229:39651
Bucket 228 [0.886719->0.890625]	51:13146	58:31044	239:55367	239:55368	241:46218	267:29182	431:3093	541:27118	552:29984	692:37104
Bucket 229 [0.890625->0.894531]	47:31997	239:55366	436:31683	779:25445	1194:23184	1194:23187	1198:7674	1205:31113	1205:31115	1205:31118
Bucket 230 [0.894531->0.898438]	269:20076	1194:23181	1196:15429	1196:15432	1205:31120	1211:7913	1216:39137	1229:39668	1229:39673	1248:17110
Bucket 231 [0.898438->0.902344]	12:44823	1229:39652	1229:39657	1229:39659	1229:39660	1229:39663	1246:24789	1302:12959	1425:5755	1548:9458
Bucket 232 [0.902344->0.90625]	10:54304	64:2823	239:55365	438:22822	440:13964	1196:15426	1205:31121	1214:46861	1218:31449	1378:29420
Bucket 233 [0.90625->0.910156]	64:2824	1211:7911	1216:39135	1369:12642	1548:9408	1548:9410	1548:9480	1548:9484	1563:5660	1563:5666
Bucket 234 [0.910156->0.914062]	1198:7682	1207:23381	1380:21934	1423:13175	1548:9483	1555:34552	1563:5663	1563:5664	1563:5665	1563:5667
Bucket 235 [0.914062->0.917969]	71:20787	245:27933	1551:48960	1563:5612	1587:20307	1594:45632	1598:31295	1600:24131	1606:2657	1749:53268
Bucket 236 [0.917969->0.921875]	262:1159	1194:23189	1553:41727	1555:34499	1555:34672	1563:5683	1658:19318	1658:19319	1716:17037	1723:42989
Bucket 237 [0.921875->0.925781]	348:18249	431:3068	431:3069	855:13664	895:51755	907:2648	910:41014	912:32844	914:24677	916:16513
Bucket 238 [0.925781->0.929688]	49:22572	89:38080	267:29183	436:31658	436:31659	751:41397	751:41419	751:41435	901:27188	903:19005
Bucket 239 [0.929688->0.933594]	47:31993	47:31998	89:38077	751:41422	751:41423	751:41425	751:41426	751:41427	751:41428	751:41429
Bucket 240 [0.933594->0.9375]	86:1283	89:38076	1194:23177	1194:23182	1555:34494	1555:34497	1555:34502	1557:27273	1568:38095	1568:38099
Bucket 241 [0.9375->0.941406]	51:13147	97:634	243:37074	768:20696	807:9892	807:9914	807:9920	807:9922	807:9925	807:9928
Bucket 242 [0.941406->0.945312]	54:49873	807:9917	807:9918	807:9921	807:9923	807:9924	807:9929	807:9931	807:9936	807:9940
Bucket 243 [0.945312->0.949219]	93:19349	95:9989	243:37075	431:3067	833:3299	845:54939	882:54423	1209:15690	1209:15695	1553:41723
Bucket 244 [0.949219->0.953125]	86:1279	168:26240	170:16989	1172:7627	1190:38702	1330:7887	1330:7890	1330:7891	1330:7895	1330:7898
Bucket 245 [0.953125->0.957031]	751:41456	1172:7595	1172:7632	1194:23176	1244:32404	1244:32409	1317:6553	1318:53281	1322:38136	1324:30568
Bucket 246 [0.957031->0.960938]	977:22007	1049:36970	1055:13078	1172:7566	1190:38721	1194:23190	1209:15658	1317:6561	1317:6566	1317:6569
Bucket 247 [0.960938->0.964844]	86:1285	390:33201	1196:15435	1246:24726	1246:24758	1246:24787	1248:17047	1248:17079	1248:17108	1317:6550
Bucket 248 [0.964844->0.96875]	236:18289	604:7859	604:7862	1097:48890	1209:15654	1209:15656	1317:6563	1318:53291	1320:45750	1322:38146
Bucket 249 [0.96875->0.972656]	65:48978	86:1281	86:1282	604:7861	751:41381	751:41389	751:41409	809:1631	810:48125	814:31496
Bucket 250 [0.972656->0.976562]	236:18288	751:41371	751:41383	751:41388	751:41395	751:41399	751:41402	751:41403	751:41405	751:41413
Bucket 251 [0.976562->0.980469]	95:9991	707:24220	709:15739	751:41373	751:41379	751:41404	751:41406	751:41407	751:41410	751:41415
Bucket 252 [0.980469->0.984375]	89:38078	225:17854	249:9660	510:10249	541:27115	709:15738	711:7283	711:7285	711:7286	712:53732
Bucket 253 [0.984375->0.988281]	10:54303	93:19351	716:36810	807:9994	809:1556	809:1564	809:1584	810:48058	810:48078	814:31421
Bucket 254 [0.988281->0.992188]	21:53068	93:19348	273:1875	454:53526	454:53528	456:44692	456:44693	541:27111	545:9702	807:9867
Bucket 255 [0.992188->0.996094]	168:26239	458:35861	580:10013	659:25486	663:8418	722:11464	722:11465	807:9884	809:1548	809:1554
Bucket 256 [0.996094->1]	164:44748	438:22798	454:53527	646:30342	659:25487	711:7273	711:7274	712:53723	725:49476	731:24169
Bucket 257 [1.]	890:21581	1160:54337	1559:20050	1669:30786	1703:12019	1727:28922	2160:47586	2243:38388	2592:52702	2611:48807
