Bucket 0 [0.]	0:20	0:319	0:694	0:833	0:1121	0:1232	0:1323	0:1327	0:1331	0:1332
Bucket 46 [0.175781->0.179688]	118:55112	212:26697	262:1212	265:38343	966:15846	971:46235	1031:7560	1070:3976	1070:4701	1071:50590
Bucket 47 [0.179688->0.183594]	151:54154	537:44547	1034:46183	1083:3023	1083:3024	1099:41895	1099:41973	1099:41996	1172:7571	1185:7621
Bucket 48 [0.183594->0.1875]	40:14148	40:14155	135:26790	403:26007	720:20037	786:46853	1071:50749	1083:3099	1099:41697	1107:9410
Bucket 49 [0.1875->0.191406]	40:14145	49:22567	49:22576	53:3727	62:12230	128:8520	269:20126	273:1921	274:48170	278:29979
Bucket 50 [0.191406->0.195312]	47:31992	47:31999	49:22566	49:22568	49:22569	49:22571	49:22573	51:13148	54:49876	56:40459
Bucket 51 [0.195312->0.199219]	49:22570	49:22574	49:22575	58:31045	62:12228	62:12229	403:26006	690:45639	969:54325	1034:46182
Bucket 52 [0.199219->0.203125]	372:12143	383:13725	403:26012	410:45599	410:45605	703:41299	768:20815	773:50541	796:5115	1032:54192
Bucket 53 [0.203125->0.207031]	296:49853	403:26011	519:21645	768:20806	773:50532	796:5049	796:5071	796:5074	796:5075	796:5077
Bucket 54 [0.207031->0.210938]	410:45604	420:1135	495:25295	600:25076	703:41286	781:17070	975:30081	1034:46269	1034:46301	1040:22189
Bucket 55 [0.210938->0.214844]	161:7808	383:13724	383:13730	600:25072	600:25074	670:29341	703:41188	720:19952	768:20812	796:5023
Bucket 56 [0.214844->0.21875]	38:23588	38:23595	177:35466	194:7866	353:46564	383:13729	751:41365	781:17076	786:46843	855:13679
Bucket 57 [0.21875->0.222656]	118:55114	146:26524	425:29712	703:41291	703:41292	709:15869	724:3061	772:4064	988:28260	1034:46156
Bucket 58 [0.222656->0.226562]	420:1134	420:1140	519:21630	600:25075	716:36940	718:28487	751:41471	781:17079	807:9966	809:1646
Bucket 59 [0.226562->0.230469]	38:23585	537:44548	537:44552	537:44575	690:45631	751:41466	768:20819	772:4059	773:50545	901:27198
