Bucket 0 [0.]	0:110	0:113	0:121	0:130	0:138
Bucket 1 [0->0.0078125]	0:10	0:11	0:12	0:13	0:14
Bucket 2 [0.0078125->0.015625]	0:1	0:2	0:3	0:4	0:5
Bucket 3 [0.015625->0.0234375]	0:1511	0:3075	0:3464	0:3466	0:5791
Bucket 4 [0.0234375->0.03125]	1:31312	2:61113	4:18972	16:69900	18:27777
Bucket 5 [0.03125->0.0390625]	1:29804	2:59605	183:69488	183:69513	183:69522
Bucket 6 [0.0390625->0.046875]	14:10287	183:69466	216:38846	216:38852	217:68655
Bucket 7 [0.046875->0.0546875]	220:56649	220:56661	220:56671	225:2815	268:68509
Bucket 8 [0.0546875->0.0625]	16:69899	225:2806	225:2821	250:38529	304:27384
Bucket 9 [0.0625->0.0703125]	8:34937	9:64740	101:61841	103:19831	107:37486
Bucket 10 [0.0703125->0.078125]	8:34936	111:55150	247:50473	256:14655	260:32584
Bucket 11 [0.078125->0.0859375]	161:22458	260:32597	304:27378	305:57268	307:15525
Bucket 12 [0.0859375->0.09375]	1:29803	257:44524	263:20668	304:27377	440:35994
Bucket 13 [0.09375->0.101562]	244:62431	251:68402	261:62470	464:44409	485:64683
Bucket 14 [0.101562->0.109375]	264:50540	440:35931	440:36007	440:36008	485:64620
Bucket 15 [0.109375->0.117188]	249:8669	251:68408	440:35909	440:35944	464:44351
Bucket 16 [0.117188->0.125]	247:50483	464:44339	464:44348	464:44349	464:44353
Bucket 17 [0.125->0.132812]	447:42607	447:42648	449:1042	449:1083	514:20599
Bucket 18 [0.132812->0.140625]	106:7652	144:23265	439:6026	439:6067	439:6075
Bucket 19 [0.140625->0.148438]	439:6196	752:66686	788:34474	788:34477	799:61330
Bucket 20 [0.148438->0.15625]	539:59858	539:59862	539:59863	758:44395	761:33263
Bucket 21 [0.15625->0.164062]	599:33882	607:71071	752:66682	788:34498	788:34573
Bucket 22 [0.164062->0.171875]	283:9004	283:9010	599:33888	752:66689	788:34472
Bucket 23 [0.171875->0.179688]	202:27134	558:21125	607:71065	748:47815	788:34497
Bucket 24 [0.179688->0.1875]	542:48526	596:45279	602:22494	748:47809	797:1277
Bucket 25 [0.1875->0.195312]	595:15303	744:28953	797:1276	824:3086	846:57692
Bucket 26 [0.195312->0.203125]	36:55708	400:56323	542:48530	558:21117	596:45283
Bucket 27 [0.203125->0.210938]	229:20710	295:63004	295:63010	317:9890	613:48314
Bucket 28 [0.210938->0.21875]	542:48419	542:48517	596:45277	602:22492	797:1250
Bucket 29 [0.21875->0.226562]	463:14393	542:48522	542:48523	595:15310	596:45290
Bucket 30 [0.226562->0.234375]	402:14682	519:68990	532:52922	546:66987	546:66995
Bucket 31 [0.234375->0.242188]	399:26390	794:12296	797:1278	811:17106	846:57726
Bucket 32 [0.242188->0.25]	761:33261	797:1271	833:71002	852:35038	870:70434
Bucket 33 [0.25->0.257812]	329:64149	376:48679	521:27493	539:60013	595:15314
Bucket 34 [0.257812->0.265625]	477:27915	595:15195	758:44398	797:1251	797:1263
Bucket 35 [0.265625->0.273438]	283:8977	464:44422	464:44423	517:9202	788:34469
Bucket 36 [0.273438->0.28125]	514:20632	514:20633	517:9062	532:53029	546:66904
Bucket 37 [0.28125->0.289062]	389:31644	599:33895	788:34492	794:12301	794:12304
Bucket 38 [0.289062->0.296875]	471:51084	595:15312	613:48318	740:10114	752:66680
Bucket 39 [0.296875->0.304688]	244:62441	542:48411	595:15297	794:12334	794:12341
Bucket 40 [0.304688->0.3125]	517:9067	517:9071	517:9072	532:53046	542:48407
Bucket 41 [0.3125->0.320312]	202:27098	464:44346	532:53033	595:15309	596:45273
Bucket 42 [0.320312->0.328125]	495:59878	517:9075	532:52935	595:15295	607:70967
Bucket 43 [0.328125->0.335938]	532:53039	532:53044	748:47822	794:12295	797:1264
Bucket 44 [0.335938->0.34375]	372:30523	579:42272	592:26599	602:22488	612:18236
Bucket 45 [0.34375->0.351562]	517:9119	542:48514	546:67007	592:26610	592:26611
Bucket 46 [0.351562->0.359375]	468:62683	539:59910	552:44062	554:2633	595:15306
Bucket 47 [0.359375->0.367188]	542:48415	595:15301	617:66896	788:34470	801:20208
Bucket 48 [0.367188->0.375]	485:64642	532:53027	532:53030	542:48521	542:48528
Bucket 49 [0.375->0.382812]	440:35953	485:64625	498:48331	500:6832	505:55183
Bucket 50 [0.382812->0.390625]	440:35936	500:6815	527:4485	527:4487	527:4488
Bucket 51 [0.390625->0.398438]	498:48314	502:66713	502:66749	502:66751	502:66752
Bucket 52 [0.398438->0.40625]	471:51065	607:71067	616:37067	768:41033	842:38042
Bucket 53 [0.40625->0.414062]	474:39490	592:26701	744:28951	802:50255	802:50262
Bucket 54 [0.414062->0.421875]	468:62662	532:53037	602:22500	738:51290	799:61327
