Bucket 0 [0.0]	0:110	0:113	0:121	0:130	0:138	0:141	0:142	0:143	0:146	0:148
Bucket 1 [0.0->0.0078125]	0:10	0:11	0:12	0:13	0:14	0:15	0:16	0:17	0:18	0:19
Bucket 2 [0.0078125->0.015625]	0:1	0:2	0:3	0:4	0:5	0:6	0:7	0:8	0:9	0:1590
Bucket 3 [0.015625->0.0234375]	0:1511	0:3075	0:3464	0:3466	1:3075	1:3464	1:3466	2:3075	2:3464	2:3466
Bucket 4 [0.0234375->0.03125]	1:1511	2:1511	3:1511	12:14	13:14	117:130	130:165	130:182	130:192	141:145
Bucket 5 [0.03125->0.0390625]	1:3	2:3	130:175	130:200	130:209	130:236	130:242	150:226	153:200	153:209
Bucket 6 [0.0390625->0.046875]	10:11	130:153	153:236	153:242	154:181	154:184	154:186	154:199	159:171	165:175
Bucket 7 [0.046875->0.0546875]	156:173	156:185	156:195	159:187	190:206	311:415	311:434	328:415	328:434	343:415
Bucket 8 [0.0546875->0.0625]	12:13	159:178	159:193	177:188	215:223	216:223	235:247	239:247	240:247	583:1544
Bucket 9 [0.0625->0.0703125]	6:8	7:8	72:80	73:83	76:84	181:184	181:186	235:257	239:257	240:257
Bucket 10 [0.0703125->0.078125]	6:7	79:87	175:182	181:199	184:186	364:368	581:1069	581:1297	582:1069	582:1297
Bucket 11 [0.078125->0.0859375]	114:120	184:199	215:217	216:217	217:223	583:1069	629:1464	745:1069	794:2250	820:1464
Bucket 12 [0.0859375->0.09375]	1:2	182:192	186:199	215:216	311:413	350:413	352:413	353:413	357:413	372:413
Bucket 13 [0.09375->0.1015625]	173:185	178:187	185:195	328:413	343:413	343:426	343:427	350:355	350:372	353:426
Bucket 14 [0.1015625->0.109375]	187:193	311:350	311:426	311:427	343:350	350:352	350:353	350:357	350:393	350:395
Bucket 15 [0.109375->0.1171875]	176:202	178:193	311:328	311:363	328:355	328:372	337:364	355:363	363:372	393:426
Bucket 16 [0.1171875->0.125]	175:192	328:343	328:352	328:353	328:357	328:393	328:395	328:396	343:363	352:363
Bucket 17 [0.125->0.1328125]	316:375	316:416	317:375	317:416	363:393	363:395	363:396	376:383	570:640	573:640
Bucket 18 [0.1328125->0.140625]	75:82	102:108	310:375	310:416	310:424	316:424	316:545	317:424	317:545	383:533
Bucket 19 [0.140625->0.1484375]	310:545	531:539	556:570	556:573	564:606	581:1518	581:1557	581:1614	581:1666	581:3745
Bucket 20 [0.1484375->0.15625]	381:386	381:390	381:391	535:537	537:542	556:668	562:608	562:613	562:630	562:632
Bucket 21 [0.15625->0.1640625]	423:531	429:537	531:535	556:594	556:669	581:1310	581:1317	581:1330	582:1290	582:1317
Bucket 22 [0.1640625->0.171875]	200:236	200:242	423:537	531:542	556:568	556:572	581:1290	581:1509	582:1335	582:1362
Bucket 23 [0.171875->0.1796875]	143:198	394:529	429:531	528:537	556:593	560:606	562:699	565:588	566:606	581:1240
Bucket 24 [0.1796875->0.1875]	383:540	421:533	425:533	528:531	562:625	581:595	582:754	588:593	588:594	588:669
Bucket 25 [0.1875->0.1953125]	420:533	525:537	562:624	581:754	597:1271	597:1288	597:1369	597:1530	597:1533	597:1543
Bucket 26 [0.1953125->0.203125]	26:27	283:308	383:544	394:521	421:537	421:540	525:531	527:537	536:537	562:635
Bucket 27 [0.203125->0.2109375]	162:198	209:236	209:242	224:241	433:531	433:537	527:531	531:536	562:615	562:637
Bucket 28 [0.2109375->0.21875]	383:433	383:531	421:531	425:531	562:598	562:676	562:677	562:742	562:747	562:748
Bucket 29 [0.21875->0.2265625]	327:334	383:536	383:537	420:540	421:544	425:537	425:540	537:544	556:589	556:603
Bucket 30 [0.2265625->0.234375]	284:293	367:403	376:420	386:521	386:529	390:521	390:529	391:521	391:529	420:535
Bucket 31 [0.234375->0.2421875]	282:293	560:565	562:626	572:640	597:1305	597:1562	614:764	619:643	619:716	619:764
Bucket 32 [0.2421875->0.25]	537:540	562:619	588:589	601:606	614:716	619:680	619:695	619:697	643:832	679:690
Bucket 33 [0.25->0.2578125]	233:308	266:308	368:378	381:541	420:544	531:540	556:640	562:614	589:606	595:1297
Bucket 34 [0.2578125->0.265625]	337:368	420:425	535:540	562:599	562:611	562:618	562:623	566:589	566:601	566:640
Bucket 35 [0.265625->0.2734375]	200:209	328:426	328:427	365:521	556:565	562:607	562:622	562:643	562:832	599:643
Bucket 36 [0.2734375->0.28125]	363:426	363:427	365:381	376:527	386:438	390:438	391:438	394:438	420:421	425:433
Bucket 37 [0.28125->0.2890625]	275:308	423:544	556:588	560:570	560:573	564:589	568:589	589:668	607:835	607:839
Bucket 38 [0.2890625->0.296875]	333:354	420:542	433:535	522:553	531:533	560:668	564:640	566:668	570:589	573:589
Bucket 39 [0.296875->0.3046875]	173:195	383:425	420:527	560:603	560:610	564:566	566:570	566:573	572:589	606:640
Bucket 40 [0.3046875->0.3125]	365:386	365:390	365:391	376:544	383:421	383:525	383:527	420:528	535:536	556:601
Bucket 41 [0.3125->0.3203125]	143:162	328:350	376:531	420:539	421:527	552:561	564:565	564:668	598:781	598:786
Bucket 42 [0.3203125->0.328125]	350:363	365:394	376:433	420:525	429:433	560:568	560:594	560:601	560:669	564:570
Bucket 43 [0.328125->0.3359375]	376:537	376:542	528:544	560:564	562:612	565:570	565:573	565:640	566:669	611:711
Bucket 44 [0.3359375->0.34375]	263:312	409:418	418:428	425:527	432:434	525:527	560:572	565:669	566:594	607:630
Bucket 45 [0.34375->0.3515625]	365:438	383:528	386:541	418:439	418:440	418:441	418:443	418:444	418:445	418:446
Bucket 46 [0.3515625->0.359375]	331:354	381:438	390:541	391:541	420:536	421:536	423:527	525:544	565:568	566:593
Bucket 47 [0.359375->0.3671875]	383:429	420:531	436:499	556:566	565:593	566:572	590:1592	590:1610	590:1638	590:1644
Bucket 48 [0.3671875->0.375]	343:372	376:525	376:528	383:535	383:542	420:423	420:537	525:540	528:540	560:589
Bucket 49 [0.375->0.3828125]	311:372	343:355	352:372	353:372	357:372	383:423	394:541	423:533	528:533	539:544
Bucket 50 [0.3828125->0.390625]	311:355	353:355	372:393	372:395	372:396	376:533	376:539	425:536	425:542	438:541
Bucket 51 [0.390625->0.3984375]	352:355	355:357	355:393	355:395	355:396	365:529	438:529	499:532	565:603	565:610
Bucket 52 [0.3984375->0.40625]	333:335	429:533	435:652	542:544	594:668	598:599	598:615	598:676	598:677	598:742
Bucket 53 [0.40625->0.4140625]	335:354	418:530	525:535	566:603	566:610	568:668	570:594	570:603	570:610	573:594
Bucket 54 [0.4140625->0.421875]	331:333	376:535	425:539	521:541	564:603	564:610	568:570	568:573	599:619	599:774
Bucket 55 [0.421875->0.4296875]	423:540	525:533	527:536	598:699	599:615	602:634	607:699	608:774	614:630	614:632
Bucket 56 [0.4296875->0.4375]	220:229	383:539	425:525	438:521	528:535	598:614	598:623	599:616	599:624	599:676
Bucket 57 [0.4375->0.4453125]	421:542	429:540	581:1234	598:612	599:711	599:743	599:772	608:676	608:677	608:742
Bucket 58 [0.4453125->0.453125]	318:354	376:423	376:429	421:539	599:622	602:644	607:612	608:711	608:743	608:772
Bucket 59 [0.453125->0.4609375]	376:540	381:521	425:528	429:544	433:527	527:539	529:541	533:539	540:542	583:1074
Bucket 60 [0.4609375->0.46875]	365:541	420:429	423:535	429:535	433:528	536:544	595:1351	603:669	608:611	610:669
Bucket 61 [0.46875->0.4765625]	318:333	376:421	429:542	572:603	572:610	594:603	594:610	607:625	612:624	613:631
Bucket 62 [0.4765625->0.484375]	581:1335	581:1362	581:1368	583:1342	598:619	598:625	600:3367	604:633	611:614	611:627
Bucket 63 [0.484375->0.4921875]	355:372	433:525	521:529	581:1307	581:1315	595:1397	608:624	613:616	613:625	614:626
Bucket 64 [0.4921875->0.5]	421:525	421:528	423:433	433:536	568:603	599:625	607:616	608:630	608:632	608:635
Bucket 65 [0.5->0.5078125]	381:529	535:542	568:610	577:666	599:618	599:623	599:627	616:623	616:637	619:677
Bucket 66 [0.5078125->0.515625]	267:271	429:539	607:623	607:627	611:637	614:699	630:676	630:677	630:742	630:747
