Bucket 0 [0.]	0:110
Bucket 1 [0->0.000976562]	0:45
Bucket 2 [0.000976562->0.00195312]	0:29
Bucket 3 [0.00195312->0.00292969]	0:21
Bucket 4 [0.00292969->0.00390625]	0:17
Bucket 5 [0.00390625->0.00488281]	0:16
Bucket 6 [0.00488281->0.00585938]	0:10
Bucket 7 [0.00585938->0.00683594]	0:12
Bucket 8 [0.00683594->0.0078125]	0:15
Bucket 9 [0.0078125->0.00878906]	0:9
Bucket 10 [0.00878906->0.00976562]	0:5
Bucket 11 [0.00976562->0.0107422]	0:4
Bucket 12 [0.0107422->0.0117188]	0:3
Bucket 13 [0.0117188->0.0126953]	0:1
Bucket 14 [0.0126953->0.0136719]	0:2095
Bucket 15 [0.0136719->0.0146484]	1:31896
Bucket 16 [0.0146484->0.015625]	7:8590
Bucket 17 [0.015625->0.0166016]	0:3464
Bucket 18 [0.0166016->0.0175781]	0:3075
Bucket 19 [0.0175781->0.0185547]	0:5791
Bucket 20 [0.0185547->0.0195312]	1:32876
Bucket 21 [0.0195312->0.0205078]	1:35592
Bucket 22 [0.0205078->0.0214844]	2:65393
Bucket 23 [0.0214844->0.0224609]	230:50556
Bucket 24 [0.0224609->0.0234375]	0:1511
Bucket 25 [0.0234375->0.0244141]	4:18972
Bucket 26 [0.0244141->0.0253906]	199:39111
Bucket 27 [0.0253906->0.0263672]	1:31312
Bucket 28 [0.0263672->0.0273438]	229:20691
Bucket 29 [0.0273438->0.0283203]	216:38775
Bucket 30 [0.0283203->0.0292969]	183:69505
Bucket 31 [0.0292969->0.0302734]	183:69478
Bucket 32 [0.0302734->0.03125]	16:69900
Bucket 33 [0.03125->0.0322266]	225:2869
Bucket 34 [0.0322266->0.0332031]	183:69488
Bucket 35 [0.0332031->0.0341797]	183:69522
Bucket 36 [0.0341797->0.0351562]	183:69549
Bucket 37 [0.0351562->0.0361328]	1:29804
Bucket 38 [0.0361328->0.0371094]	2:59605
Bucket 39 [0.0371094->0.0380859]	212:20977
Bucket 40 [0.0380859->0.0390625]	216:38819
Bucket 41 [0.0390625->0.0400391]	225:2799
Bucket 42 [0.0400391->0.0410156]	14:10287
Bucket 43 [0.0410156->0.0419922]	217:68655
Bucket 44 [0.0419922->0.0429688]	217:68673
Bucket 45 [0.0429688->0.0439453]	217:68658
Bucket 46 [0.0439453->0.0449219]	183:69466
Bucket 47 [0.0449219->0.0458984]	346:64851
Bucket 48 [0.0458984->0.046875]	217:68660
Bucket 49 [0.046875->0.0478516]	495:59930
Bucket 50 [0.0478516->0.0488281]	485:64685
Bucket 51 [0.0488281->0.0498047]	464:44411
Bucket 52 [0.0498047->0.0507812]	440:35996
Bucket 53 [0.0507812->0.0517578]	220:56649
Bucket 54 [0.0517578->0.0527344]	225:2815
Bucket 55 [0.0527344->0.0537109]	485:64704
Bucket 56 [0.0537109->0.0546875]	220:56661
Bucket 57 [0.0546875->0.0556641]	16:69899
Bucket 58 [0.0556641->0.0566406]	225:2806
Bucket 59 [0.0566406->0.0576172]	225:2821
Bucket 60 [0.0576172->0.0585938]	843:68967
Bucket 61 [0.0585938->0.0595703]	880:67662
Bucket 62 [0.0595703->0.0605469]	845:27459
Bucket 63 [0.0605469->0.0615234]	250:38529
Bucket 64 [0.0615234->0.0625]	305:57274
Bucket 65 [0.0625->0.0634766]	8:34937
Bucket 66 [0.0634766->0.0644531]	107:37486
Bucket 67 [0.0644531->0.0654297]	332:52278
Bucket 68 [0.0654297->0.0664062]	994:59623
Bucket 69 [0.0664062->0.0673828]	101:61841
Bucket 70 [0.0673828->0.0683594]	349:53059
Bucket 71 [0.0683594->0.0693359]	256:14642
Bucket 72 [0.0693359->0.0703125]	880:67752
Bucket 73 [0.0703125->0.0712891]	8:34936
