# A tibble: 56 × 18
# Groups:   k, totbits, bin [54]
       k totbits   bin     n   BD1   BD2   BD4 `BMH1-500000` `BMH1-50000000`  Dash1   FSS1 JItrue `PMH1-500000` `PMH1-50000000`    SS1 WJItrue   BD8    Mash
   <int>   <dbl> <dbl> <int> <dbl> <dbl> <dbl>         <dbl>           <dbl>  <dbl>  <dbl>  <dbl>         <dbl>           <dbl>  <dbl>   <dbl> <dbl>   <dbl>
46    71   65536  0.9   6496 210.  202.  200.          395.            245.  1554.   138.   459.          290.            242.   144.    454.  198.   6052. 
47    71   65536  0.95 41978 240.  239.  238.          422.            499.  1330.   966.  3979.          568.            522.   927.   3911.  236.  41366. 
48    71  131072  0.85  1106  69.5  64.1  64.1         116.             90.7  332.   111.    66.4          97.7            90.0  104.     67.5  64.7   982. 
49    71  131072  0.9   6496 212.  201.  202.          395.            245.  1243.    94.6  459.          291.            241.   103.    451.  200.   6052. 
50    71  131072  0.95 41978 242.  235.  237.          421.            499.  1183.   906.  3979.          565.            522.   918.   3909.  238.  41366. 
51    71  262144  0.85  1106  69.5  64.1  64.0         116.             90.6  275.    62.4   66.3          97.9            90.0   67.3    67.2  64.1   982. 
52    71  262144  0.9   6496 212.  203.  201.          394.            245.   859.    84.4  459.          292.            242.    83.2   448.  202.   6052. 
53    71  262144  0.95 41978 242.  237.  237.          421.            498.  1106.   904.  3977.          560.            521.   879.   3904.  237.  41366. 
54    71  524288  0.85  1106  69.4  64.3  64.1         116.             90.6  193.    52.3   67.1          98.3            90.0   53.2    67.3  64.0   982. 
55    71  524288  0.9   6496 212.  203.  203.          394.            245.   400.    78.9  458.          295.            242.    70.0   448.  201.   6052. 
56    71  524288  0.95 41978 244.  238.  237.          421.            499.  1049.   884.  3978.          550.            521.   878.   3904.  235.  41366. 
