# A tibble: 56 × 18
# Groups:   k, totbits, bin [54]
       k totbits   bin     n     BD1    BD2     BD4 `BMH1-500000` `BMH1-50000000`    Dash1     FSS1  JItrue `PMH1-500000` `PMH1-50000000`      SS1 WJItrue    BD8      Mash
   <int>   <dbl> <dbl> <int>   <dbl>  <dbl>   <dbl>         <dbl>           <dbl>    <dbl>    <dbl>   <dbl>         <dbl>           <dbl>    <dbl>   <dbl>  <dbl>     <dbl>
43    71   32768  0.9   6496 211.    200.   198.           395.            245.   -1740.    -128.    -433.          290.            241.   -115.    -435.  191.    -6052.  
44    71   32768  0.95 41978 241.    237.   236.           299.           -393.   -1526.   -1036.   -3982.         -388.           -424.   -994.   -3914.  234.   -41366.  
45    71   65536  0.85  1106  69.4    64.1   61.2          116.             90.6   -273.     -79.6    -39.1          97.5            90.0   -70.5    -42.4  36.3    -982.  
46    71   65536  0.9   6496 210.    202.   200.           395.            245.   -1450.     -39.9   -431.          290.            242.    -47.8   -426.  198.    -6052.  
47    71   65536  0.95 41978 240.    235.   238.           299.           -391.   -1326.    -965.   -3978.         -387.           -421.   -926.   -3910.  236.   -41366.  
48    71  131072  0.85  1106  69.5    64.1   64.1          116.             90.7   -260.     -44.8    -38.1          97.7            90.0   -36.7    -39.0  61.2    -982.  
49    71  131072  0.9   6496 212.    201.   202.           395.            245.   -1151.       4.87  -431.          291.            241.     -6.52  -423.  200.    -6052.  
50    71  131072  0.95 41978 242.    235.   237.           297.           -390.   -1181.    -905.   -3978.         -382.           -421.   -917.   -3908.  238.   -41366.  
51    71  262144  0.85  1106  69.5    64.1   64.0          116.             90.6   -205.       5.66   -38.0          97.9            90.0     1.69   -38.7  64.1    -982.  
52    71  262144  0.9   6496 212.    203.   201.           394.            245.    -776.      15.5   -431.          292.            242.     12.7   -420.  202.    -6052.  
53    71  262144  0.95 41978 242.    237.   233.           295.           -388.   -1105.    -903.   -3977.         -374.           -420.   -878.   -3903.  237.   -41366.  
54    71  524288  0.85  1106  69.4    64.3   64.1          116.             90.6   -119.      18.3    -38.9          98.3            90.0    15.9    -38.8  64.0    -982.  
55    71  524288  0.9   6496 212.    203.   203.           394.            245.    -306.      20.3   -430.          295.            242.     25.4   -420.  201.    -6052.  
56    71  524288  0.95 41978 243.    236.   237.           295.           -388.   -1048.    -883.   -3977.         -357.           -420.   -877.   -3903.  235.   -41366.  
