# A tibble: 110 × 17
# Groups:   k, totbits, bin [108]
        k totbits   bin     n `BMH1-500000` `BMH1-50000000`     Dash1      FSS1      FSSN   JItrue `PMH1-500000` `PMH1-50000000`      SS1  WJItrue     FSS8   Mash       SS8
    <int>   <dbl> <dbl> <int>         <dbl>           <dbl>     <dbl>     <dbl>     <dbl>    <dbl>         <dbl>           <dbl>    <dbl>    <dbl>    <dbl>  <dbl>     <dbl>
 43    31   16384  0.9   6496        333.            165.      97.8     104.      107.       98.3          94.6           153.      99.0     86.6     NA     NA       NA    
 44    31   16384  0.95 41978        161.             96.2     94.3      94.2      95.5      74.0        -997.             77.5     89.0     69.8     NA     NA       NA    
 45    31   32768  0.7     41          9.62            7.31    -2.24    -10.3      -5.32     -2.23          8.08            7.22   -10.4     -2.07   -26.2  -24.5    -24.5  
 46    31   32768  0.75   159         32.0            23.4    -28.3     -21.5     -33.6       4.99         25.9            23.4    -14.3      5.62   -62.2  -58.6    -48.3  
 47    31   32768  0.8   1105        178.            126.      -4.17     64.4      -1.87     63.2         135.            123.      57.1     62.9     55.0   -8.54   -32.2  
 48    31   32768  0.85  1471        150.             88.1     54.0      51.8      53.7      50.3          96.8            86.3     52.0     47.2     50.7   49.7     55.8  
 49    31   32768  0.9   6496        335.            165.      99.4     106.      108.       97.3          95.6           155.     100.      92.5     96.1  107.      98.0  
 50    31   32768  0.95 41978        167.            102.      92.6      96.3      94.4      75.5        -992.             79.8     90.7     71.7     89.4   98.0     96.4  
 51    31   65536  0.7     41          9.62            7.34    -8.79     -7.00    -11.0      -2.23          8.06            7.27   -15.0     -2.07   -24.5  -24.5    -24.5  
 52    31   65536  0.75   159         32.0            23.6    -30.7     -21.4     -21.8       4.96         25.9            23.3     -6.39     5.48   -39.1  -29.3    -21.5  
 53    31   65536  0.8   1105        178.            126.     -21.0      63.9      37.6      64.5         135.            123.      62.0     64.3     58.6   64.0     15.2  
 54    31   65536  0.85  1471        150.             88.4     54.4      52.1      53.3      50.6          96.7            86.0     51.9     49.5     50.3   50.1     53.3  
 55    31   65536  0.9   6496        334.            166.      99.2     105.      109.       97.8          95.4           156.     102.      96.8    100.   106.      99.1  
 56    31   65536  0.95 41978        166.            108.      90.9      94.2      97.5      75.8        -991.             76.5     94.1     75.0     86.3   88.9     86.6  
 57    31  131072  0.7     41          9.62            7.34    -5.04    -11.0      -6.62     -2.23          8.08            7.28   -15.3     -2.07   -24.5  -24.5    -24.5  
 58    31  131072  0.75   159         32.0            23.6     -8.80     -4.27    -13.0       5.05         26.0            23.3     -1.59     5.63   -21.3  -14.4    -12.7  
 59    31  131072  0.8   1105        178.            125.      28.9      62.9      55.0      63.4         135.            123.      62.3     63.7     61.4   65.3     55.6  
 60    31  131072  0.85  1471        150.             89.1     54.1      51.6      51.6      51.2          97.1            86.2     51.7     49.2     51.8   50.4     52.1  
 61    31  131072  0.9   6496        334.            167.     104.      105.      107.      100.           97.0           154.     103.      99.0    105.   104.      99.1  
 62    31  131072  0.95 41978        166.            110.      91.5      93.2      96.7      78.8        -985.             74.8     94.9     80.0     94.6   86.6     88.1  
 63    31  262144  0.7     41          9.61            7.34    -4.41    -12.1     -11.3      -2.23          8.11            7.28    -9.99    -2.07   -23.7  -23.7    -23.7  
 64    31  262144  0.75   159         32.0            23.6    -10.7      -1.56     -9.99      5.05         26.0            23.3     -3.72     5.45   -12.4   -6.35    -2.39 
 65    31  262144  0.8   1105        178.            126.      49.9      64.0      65.1      63.3         136.            123.      63.2     63.8     64.4   65.4     60.2  
 66    31  262144  0.85  1471        150.             89.2     51.5      51.3      51.2      50.9          97.6            86.2     51.8     49.9     52.0   50.6     52.0  
 67    31  262144  0.9   6496        333.            167.     104.      105.      106.      100.           99.4           154.     104.      98.3    106.   106.     100.   
 68    31  262144  0.95 41978        166.            109.      94.4      94.7      95.5      78.7        -975.             75.7     94.2     78.6     95.9   85.7     91.4  
 69    31  524288  0.7     41          9.61            7.33    -4.77    -10.0      -9.06     -2.23          8.15            7.28   -13.6     -2.07   -23.0  -23.8    -23.8  
 70    31  524288  0.75   159         32.0            23.6     -5.05     -3.93      0.483     5.05         26.2            23.3     -1.93     5.66    -1.35  -1.92     0.422
