# A tibble: 110 × 17
# Groups:   k, totbits, bin [108]
        k totbits   bin     n `BMH1-500000` `BMH1-50000000`    Dash1    FSS1     FSSN  JItrue `PMH1-500000` `PMH1-50000000`     SS1 WJItrue    FSS8   Mash     SS8
    <int>   <dbl> <dbl> <int>         <dbl>           <dbl>    <dbl>   <dbl>    <dbl>   <dbl>         <dbl>           <dbl>   <dbl>   <dbl>   <dbl>  <dbl>   <dbl>
 46    31   32768  0.75   159          6.48           3.49    30.2    21.1     33.9     0.527          4.26           3.46   17.4     0.551  52.3   49.9    42.8  
 47    31   32768  0.8   1105         28.9           14.5     60.7     4.10    56.4     4.07          16.6           13.8     7.07    4.21    6.24  54.8    77.1  
 48    31   32768  0.85  1471         15.5            5.41     4.15    2.05     2.19    2.08           6.84           5.21    2.04    3.73    2.87   2.02    3.27 
 49    31   32768  0.9   6496         18.7            4.80     1.82    2.00     2.10    3.93           2.79           4.34    1.84    4.49    1.68   2.19    1.90 
 50    31   32768  0.95 41978          3.81           0.702    0.505   0.530    0.504   1.68          27.4            0.543   0.464   3.52    0.491  0.563   0.533
 51    31   65536  0.7     41          2.26           1.32     8.67    6.88    10.4     0.432          1.59           1.29   12.4     0.406  19.1   19.1    19.1  
 52    31   65536  0.75   159          6.47           3.52    31.7    21.4     24.0     0.528          4.24           3.45   11.3     0.566  34.4   27.0    21.8  
 53    31   65536  0.8   1105         28.8           14.4     69.3     4.02    23.9     4.06          16.6           13.7     3.83    4.26    5.09   4.86   38.6  
 54    31   65536  0.85  1471         15.5            5.45     3.29    2.07     2.16    2.08           6.81           5.16    2.04    2.83    2.82   1.93    2.15 
 55    31   65536  0.9   6496         18.7            4.87     1.83    1.99     2.12    3.81           2.78           4.35    1.89    2.60    1.83   2.09    1.90 
 56    31   65536  0.95 41978          3.82           0.749    0.463   0.504    0.531   2.41          27.3            0.527   0.480   3.85    0.461  0.474   0.463
 57    31  131072  0.7     41          2.26           1.31     6.52    9.64     6.95    0.432          1.59           1.29   12.4     0.406  19.1   19.1    19.1  
 58    31  131072  0.75   159          6.47           3.53    15.9     8.72    17.1     0.525          4.27           3.45    7.00    0.553  20.4   15.5    14.4  
 59    31  131072  0.8   1105         28.8           14.3     32.5     4.69    10.7     4.74          16.7           13.7     4.63    4.87    5.31   5.00    4.09 
 60    31  131072  0.85  1471         15.5            5.53     2.30    2.02     1.99    2.01           6.88           5.20    2.04    2.85    2.10   1.95    2.04 
 61    31  131072  0.9   6496         18.6            4.91     1.94    1.96     2.04    2.15           2.82           4.27    1.92    2.43    1.96   2.00    1.82 
 62    31  131072  0.95 41978          3.83           0.758    0.478   0.484    0.515   0.455         27.0            0.516   0.487   0.907   0.517  0.430   0.448
 63    31  262144  0.7     41          2.25           1.31     5.91   10.2     10.3     0.432          1.61           1.29    8.50    0.406  18.6   18.5    18.5  
 64    31  262144  0.75   159          6.46           3.53    15.9     6.33    14.5     0.525          4.30           3.45    7.92    0.582  13.7    9.66    7.38 
 65    31  262144  0.8   1105         28.7           14.4     16.0     4.01     5.65    4.70          16.8           13.7     3.90    4.98    4.08   4.93    3.69 
 66    31  262144  0.85  1471         15.5            5.56     2.93    1.99     1.96    2.00           6.94           5.20    2.03    2.85    2.07   1.94    2.04 
 67    31  262144  0.9   6496         18.6            4.93     1.95    1.95     1.99    2.81           2.90           4.26    1.93    4.15    2.00   2.02    1.84 
 68    31  262144  0.95 41978          3.82           0.764    0.498   0.492    0.499   0.465         26.5            0.516   0.484   3.43    0.524  0.433   0.467
 69    31  524288  0.7     41          2.25           1.31     5.86    8.53     8.61    0.432          1.62           1.30   11.3     0.406  18.0   18.5    18.6  
 70    31  524288  0.75   159          6.46           3.53    11.4     8.05     7.19    0.525          4.34           3.45    6.28    0.552   5.59   6.18    5.04 
 71    31  524288  0.8   1105         28.8           14.4      7.89    4.00     4.38    4.09          17.1           13.8     3.96    4.91    4.07   4.29    3.79 
 72    31  524288  0.85  1471         15.5            5.55     2.06    1.99     1.96    2.00           7.13           5.20    2.02    2.80    2.09   1.95    2.04 
 73    31  524288  0.9   6496         18.5            4.91     1.94    1.94     1.95    1.91           3.11           4.24    1.93    2.18    1.98   1.93    1.89 
 74    31  524288  0.95 41978          3.82           0.761    0.485   0.491    0.494   1.37          25.3            0.530   0.483   0.595   0.503  0.449   0.482
 75    71   16384  0.7     41          2.46           1.99     9.41   11.2     14.5     0.961          2.15           1.98    8.07    0.988  NA     NA      NA    
 76    71   16384  0.75   159          7.11           5.63    39.2    42.8     54.8     0.885          6.05           5.56   44.5     0.939  NA     NA      NA    
 77    71   16384  0.8   1105         32.3           24.3    371.    229.     395.      1.82          26.3           24.0   195.      4.72   NA     NA      NA    
 78    71   16384  0.85  1471         18.7           11.5    420.    249.     526.     17.7           13.9           11.4   247.     24.5    NA     NA      NA    
 79    71   16384  0.9   6496         25.5           10.8   1894.    259.    1435.     84.7           14.4           10.5   230.     88.2    NA     NA      NA    
 80    71   16384  0.95 41978          8.24           7.70  1418.    270.    1001.    569.             9.74           8.44  200.    567.     NA     NA      NA    
 81    71   32768  0.7     41          2.46           1.98    10.4    14.9     11.3     0.961          2.15           1.98   11.3     0.988  20.8   NA      20.8  
 82    71   32768  0.75   159          7.12           5.61    37.4    36.1     57.7     0.885          6.06           5.57   49.0     0.940  88.7   NA      72.0  
 83    71   32768  0.8   1105         32.4           24.3    290.    190.     357.      3.19          26.3           24.1   199.      2.65  485.    NA     348.   
 84    71   32768  0.85  1471         18.7           11.5    347.    193.     479.     18.5           13.9           11.4   205.     19.8   431.    NA     516.   
 85    71   32768  0.9   6496         25.5           10.9   1665.    148.    1210.     82.9           14.4           10.5   133.     92.4   519.    NA     416.   
 86    71   32768  0.95 41978          8.32           7.66   722.    221.     588.    574.             9.77           8.34  170.    559.    406.    NA     443.   
 87    71   65536  0.7     41          2.46           1.98     8.29   12.8     14.4     0.961          2.15           1.98    8.53    0.988  19.7   NA      19.7  
 88    71   65536  0.75   159          7.13           5.61    30.9    43.4     43.5     0.885          6.06           5.58   39.8     0.946  78.7   NA      61.8  
 89    71   65536  0.8   1105         32.4           24.3    252.    196.     345.      2.51          26.3           24.1   184.      4.03  262.    NA     206.   
 90    71   65536  0.85  1471         18.7           11.5    331.    127.     449.     17.7           13.9           11.3   112.     22.1   198.    NA     263.   
 91    71   65536  0.9   6496         25.5           10.9   1375.     69.8    809.     81.1           14.4           10.6    75.4    83.9   144.    NA     121.   
 92    71   65536  0.95 41978          8.33           7.61   534.    143.     519.    569.             9.78           8.30  101.    556.    266.    NA     298.   
 93    71  131072  0.7     41          2.46           1.99    13.5    11.7     16.0     0.961          2.15           1.98   10.1     0.988  19.2   NA      19.2  
 94    71  131072  0.75   159          7.12           5.62    50.3    44.4     45.6     0.882          6.07           5.59   41.6     0.945  70.8   NA      53.9  
 95    71  131072  0.8   1105         32.4           24.3    354.    140.     297.      1.83          26.4           24.1   142.      3.32  126.    NA     101.   
 96    71  131072  0.85  1471         18.7           11.5    314.     81.4    363.     16.2           14.0           11.3    74.9    19.0    65.2   NA      78.7  
 97    71  131072  0.9   6496         25.5           10.9   1086.     30.1    439.     81.9           14.5           10.5    38.3    81.2    51.4   NA      35.3  
 98    71  131072  0.95 41978          8.32           7.61   367.     79.7    453.    570.             9.68           8.30   90.6   555.    172.    NA      99.3  
 99    71  262144  0.7     41          2.46           1.99    13.9    10.1     12.8     0.961          2.15           1.98   10.1     0.988  19.2   NA      19.2  
100    71  262144  0.75   159          7.12           5.62    45.4    40.7     56.3     0.885          6.08           5.59   38.3     0.946  53.8   NA      44.9  
101    71  262144  0.8   1105         32.3           24.3    344.    107.     339.      1.83          26.4           24.1   121.      2.03   39.3   NA      52.5  
102    71  262144  0.85  1471         18.6           11.5    256.     33.4    298.     16.1           14.0           11.3    33.9    19.0    20.6   NA      15.9  
103    71  262144  0.9   6496         25.5           10.9    731.     21.1    284.     81.1           14.6           10.6    20.8    79.4     9.95  NA       4.72 
104    71  262144  0.95 41978          8.29           7.58   285.     76.1    373.    568.             9.53           8.26   46.8   550.     88.6   NA      41.6  
105    71  524288  0.7     41          2.46           1.99    10.7    12.2     15.0     0.961          2.16           1.98   10.1     0.988  19.2   NA      19.2  
106    71  524288  0.75   159          7.12           5.62    47.2    35.7     51.6     0.885          6.11           5.59   36.2     0.947  41.1   NA      24.9  
107    71  524288  0.8   1105         32.3           24.3    310.     81.7    285.      1.83          26.6           24.1    99.3     2.03   21.8   NA      27.3  
108    71  524288  0.85  1471         18.6           11.5    176.     20.5    264.     16.9           14.1           11.3    24.1    19.7     5.13  NA       5.88 
109    71  524288  0.9   6496         25.5           10.9    306.     15.9    152.     80.2           14.9           10.6     8.83   79.3     2.90  NA       1.17 
110    71  524288  0.95 41978          8.29           7.59   225.     51.9    244.    569.             9.23           8.26   45.1   550.     30.8   NA      26.9  
