# A tibble: 387 × 10
# Groups:   k, totbits, bin [288]
        k totbits   bin     n       Dash1       FSS1        SS1       FSS8    Mash        SS8
    <int>   <dbl> <dbl> <int>       <dbl>      <dbl>      <dbl>      <dbl>   <dbl>      <dbl>
 85    21  131072  0.1   1982  0.210       0.146      0.143     NA         NA      NA        
 86    21  131072  0.1   1974 NA          NA         NA          0.210      0.224   0.160    
 87    21  131072  0.15  2050  0.237       0.102      0.0952    NA         NA      NA        
 88    21  131072  0.15  2040 NA          NA         NA          0.342      0.401   0.233    
 89    21  131072  0.2   2180  0.102       0.0699     0.0771    NA         NA      NA        
 90    21  131072  0.2   2169 NA          NA         NA          0.150      0.261   0.276    
 91    21  131072  0.25  2624  0.144       0.165      0.146     NA         NA      NA        
 92    21  131072  0.25  2597 NA          NA         NA          0.373      0.632   0.323    
 93    21  131072  0.3   2474  0.144       0.0664     0.115      0.323      1.48    0.0968   
 94    21  131072  0.35  2843  0.219       0.180      0.258     NA         NA      NA        
 95    21  131072  0.35  2840 NA          NA         NA          0.413      2.31    0.168    
 96    21  131072  0.4   2872  0.208       0.302      0.350      0.466      2.43    0.195    
 97    21  131072  0.45  2809  0.375       0.414      0.577     NA         NA      NA        
 98    21  131072  0.45  2810 NA          NA         NA          0.531      3.05    0.313    
 99    21  131072  0.5   2460  0.481       0.419      0.422      0.467      1.95    0.436    
100    21  131072  0.55  3340  0.611       0.629      0.615      0.642      2.00    0.711    
101    21  131072  0.6   2630  0.766       0.582      0.700      0.786      1.47    0.701    
102    21  131072  0.65  2949  0.905       0.900      0.985      1.38       1.64    1.25     
103    21  131072  0.7   3274  1.31        1.47       1.27      NA         NA      NA        
104    21  131072  0.7   3275 NA          NA         NA          1.97       2.36    1.54     
105    21  131072  0.75  2934  1.78        2.07       1.73       2.37       2.25    2.01     
106    21  131072  0.8   3701  2.76        3.07       2.49       3.40       3.36    2.88     
107    21  131072  0.85  2972  3.72        3.75       3.46       4.24       4.22    3.32     
108    21  131072  0.9   2196  1.09        1.23       1.21       1.46       1.78    1.39     
109    21  131072  0.95  1720  0.830       0.890      0.882      0.955      1.09    1.01     
110    21  262144  0     1520  0.900       0.881      0.874     NA         NA      NA        
111    21  262144  0     1564 NA          NA         NA          2.62       2.66    2.60     
112    21  262144  0.05  1710  0.522       0.497      0.489     NA         NA      NA        
113    21  262144  0.05  1717 NA          NA         NA          1.13       1.15    1.11     
114    21  262144  0.1   1977  0.111       0.0575     0.0573    NA         NA      NA        
115    21  262144  0.1   1982 NA          NA         NA          0.401      0.396   0.351    
116    21  262144  0.15  2052  0.175       0.111      0.0979    NA         NA      NA        
117    21  262144  0.15  2044 NA          NA         NA          0.203      0.223   0.157    
118    21  262144  0.2   2184  0.0573      0.0535     0.0657    NA         NA      NA        
119    21  262144  0.2   2173 NA          NA         NA          0.184      0.314   0.212    
120    21  262144  0.25  2628  0.166       0.163      0.124     NA         NA      NA        
121    21  262144  0.25  2603 NA          NA         NA          0.309      0.547   0.229    
122    21  262144  0.3   2477  0.155       0.0756     0.0910    NA         NA      NA        
123    21  262144  0.3   2472 NA          NA         NA          0.318      0.955   0.108    
124    21  262144  0.35  2843  0.319       0.193      0.212     NA         NA      NA        
125    21  262144  0.35  2838 NA          NA         NA          0.589      1.91    0.329    
126    21  262144  0.4   2872  0.381       0.326      0.237      0.668      1.57    0.185    
127    21  262144  0.45  2810  0.623       0.542      0.470     NA         NA      NA        
128    21  262144  0.45  2809 NA          NA         NA          0.780      1.93    0.283    
129    21  262144  0.5   2460  0.495       0.375      0.391      0.711      1.34    0.260    
130    21  262144  0.55  3340  0.689       0.651      0.575      0.789      1.02    0.604    
131    21  262144  0.6   2630  0.822       0.655      0.616      0.779      0.830   0.596    
132    21  262144  0.65  2949  0.994       1.02       0.876      1.21       1.18    1.12     
133    21  262144  0.7   3274  1.39        1.50       1.23       1.62       1.70    1.43     
134    21  262144  0.75  2934  1.78        2.04       1.79       2.07       2.08    1.90     
135    21  262144  0.8   3701  2.81        3.03       2.63       3.12       3.13    2.85     
136    21  262144  0.85  2972  3.86        3.79       3.53       3.89       3.97    3.33     
137    21  262144  0.9   2196  1.19        1.28       1.27       1.27       1.55    1.10     
138    21  262144  0.95  1720  0.835       0.907      0.879      0.882      1.01    0.872    
139    21  524288  0     1514  1.31        1.30       1.29      NA         NA      NA        
140    21  524288  0     1547 NA          NA         NA          1.78       1.76    1.77     
141    21  524288  0.05  1703  0.159       0.145      0.139     NA         NA      NA        
142    21  524288  0.05  1714 NA          NA         NA          0.695      0.689   0.692    
143    21  524288  0.1   1979  0.119       0.0987     0.0949    NA         NA      NA        
144    21  524288  0.1   1981 NA          NA         NA          0.267      0.243   0.239    
145    21  524288  0.15  2053  0.115       0.0927     0.0735    NA         NA      NA        
146    21  524288  0.15  2048 NA          NA         NA          0.224      0.204   0.182    
147    21  524288  0.2   2189  0.0422      0.0480     0.0504    NA         NA      NA        
148    21  524288  0.2   2174 NA          NA         NA          0.117      0.110   0.118    
149    21  524288  0.25  2632  0.161       0.152      0.122     NA         NA      NA        
150    21  524288  0.25  2609 NA          NA         NA          0.211      0.314   0.180    
151    21  524288  0.3   2481  0.0998      0.0927     0.0878    NA         NA      NA        
152    21  524288  0.3   2478 NA          NA         NA          0.188      0.311   0.0856   
