# A tibble: 387 × 10
# Groups:   k, totbits, bin [288]
        k totbits   bin     n       Dash1       FSS1        SS1       FSS8    Mash        SS8
    <int>   <dbl> <dbl> <int>       <dbl>      <dbl>      <dbl>      <dbl>   <dbl>      <dbl>
357    71   65536  0.95    15  0.00482     0.00483    0.00483    0.00482   NA       0.00483  
358    71  131072  0    40416 90.0        88.7       87.9       89.9       NA      85.2        
360    71  131072  0.05  7599  0.274       0.0518     0.0576     0.239         NA      0.229        
362    71  131072  0.1   1973  0.0877      0.0158     0.0157     0.0933    NA       0.0774   
363    71  131072  0.15  1132  0.0656      0.0101     0.0125     0.0569    NA       0.0533   
364    71  131072  0.2    112  0.00706     0.00418    0.00414    0.00830   NA       0.00792  
365    71  131072  0.25     1  0.000300    0.000282   0.000361   0.000129  NA       0.000118 
366    71  131072  0.3      2  0.000161    0.0000524  0.0000151  0.000311  NA       0.000164 
367    71  131072  0.95    15  0.00482     0.00483    0.00483    0.00482   NA       0.00483  
368    71  262144  0    40417 87.7        88.3       87.8       90.3       NA      87.1      
369    71  262144  0.05  7598  0.118       0.0184     0.0214     0.120     NA       0.113    
370    71  262144  0.1   1973  0.0350      0.00956    0.00817    0.0439    NA       0.0379   
371    71  262144  0.15  1133  0.0366      0.00803    0.00921    0.0354    NA      0.0295       
373    71  262144  0.2    111  0.00595     0.00395    0.00381   0.00600         NA    0.00606        
375    71  262144  0.25     1  0.000565    0.000388   0.000309   0.000322  NA       0.000348 
376    71  262144  0.3      2  0.000227    0.0000615  0.0000150  0.000123  NA       0.0000203
377    71  262144  0.95    15  0.00483     0.00483    0.00483    0.00483   NA       0.00483  
378    71  524288  0    40416 87.2        87.9       88.0       89.6         NA     87.9        
380    71  524288  0.05  7598  0.0609      0.00939    0.0101     0.0597    NA       0.0656   
381    71  524288  0.1   1973  0.0174      0.00402    0.00410    0.0248    NA       0.0246   
382    71  524288  0.15  1133  0.0229      0.00395    0.00574    0.0195    NA       0.0162   
383    71  524288  0.2    112  0.00478     0.00288    0.00300   0.00381    NA       0.00577        
385    71  524288  0.25     1  0.000362    0.000376   0.000357   0.000296  NA       0.000415 
386    71  524288  0.3      2  0.000188    0.0000627  0.0000209  0.0000343 NA       0.0000339
387    71  524288  0.95    15  0.00483     0.00483    0.00483    0.00483   NA       0.00483  
