# A tibble: 110 × 17
# Groups:   k, totbits, bin [108]
        k totbits   bin     n `BMH1-500000` `BMH1-50000000`   Dash1    FSS1   FSSN  JItrue `PMH1-500000` `PMH1-50000000`    SS1 WJItrue   FSS8  Mash    SS8
    <int>   <dbl> <dbl> <int>         <dbl>           <dbl>   <dbl>   <dbl>  <dbl>   <dbl>         <dbl>           <dbl>  <dbl>   <dbl>  <dbl> <dbl>  <dbl>
 47    31   32768  0.8   1105        178.            126.    134.     64.7   128.    64.4         135.            123.     65.8   65.6    61.5 119.   149. 
 48    31   32768  0.85  1471        150.             88.1    58.0    52.0    53.9   51.8          96.8            86.3    52.2   54.0    52.5  49.9   57.7
 49    31   32768  0.9   6496        335.            165.     99.4   106.    108.   106.          102.            155.    100.   112.     96.1 107.    98.0
 50    31   32768  0.95 41978        256.            109.     96.6    99.9    98.3   91.4         996.             94.0    94.5  101.     95.0 103.   102. 
 51    31   65536  0.7     41          9.62            7.34   13.7    11.0    15.9    4.07          8.06            7.27   17.9    3.90   26.3  26.3   26.4
 52    31   65536  0.75   159         32.0            23.6    48.9    33.4    37.9    6.96         25.9            23.3    21.5    7.47   48.9  39.9   33.9
 53    31   65536  0.8   1105        178.            126.    142.     64.2    87.8   64.8         135.            123.     62.5   66.0    62.2  66.2  102. 
 54    31   65536  0.85  1471        150.             88.4    56.5    52.3    53.5   51.8          96.7            86.0    52.1   53.0    52.2  50.3   53.6
 55    31   65536  0.9   6496        334.            166.     99.2   105.    109.   106.          102.            156.    102.   109.    100.  106.    99.1
 56    31   65536  0.95 41978        256.            114.     94.4    97.9   101.    91.3         995.             90.8    97.7   98.8    91.1  93.7   91.6
 57    31  131072  0.7     41          9.62            7.34   11.4    14.4    11.3    4.07          8.08            7.28   17.7    3.90   26.3  26.3   26.3
 58    31  131072  0.75   159         32.0            23.6    30.1    17.7    29.6    6.91         26.0            23.3    16.0    7.40   31.1  25.3   24.2
 59    31  131072  0.8   1105        178.            125.    100.     64.9    72.3   65.5         135.            123.     64.4   66.5    65.2  67.3   57.7
 60    31  131072  0.85  1471        150.             89.1    54.3    51.8    51.8   51.6          97.1            86.2    52.1   53.3    52.1  50.6   52.4
 61    31  131072  0.9   6496        334.            167.    104.    105.    107.   104.          104.            154.    103.   107.    105.  104.    99.1
 62    31  131072  0.95 41978        257.            115.     95.3    96.8   100.    88.5         990.             89.9    98.6   94.3    98.7  90.7   92.2
 63    31  262144  0.7     41          9.61            7.34   10.5    14.9    15.6    4.07          8.11            7.28   12.5    3.90   25.6  25.6   25.6
 64    31  262144  0.75   159         32.0            23.6    28.3    14.2    26.2    6.91         26.0            23.3    16.3    7.52   23.0  18.3   15.8
 65    31  262144  0.8   1105        178.            126.     79.9    64.3    68.8   65.3         136.            123.     63.4   67.3    64.8  67.4   60.4
 66    31  262144  0.85  1471        150.             89.2    53.4    51.5    51.3   51.5          97.6            86.2    52.0   53.0    52.2  50.8   52.3
 67    31  262144  0.9   6496        333.            167.    104.    105.    106.   104.          105.            154.    104.   109.    106.  106.   100. 
 68    31  262144  0.95 41978        257.            115.     98.0    98.1    99.0   88.6         980.             89.9    97.9   95.8    99.5  89.8   95.2
 69    31  524288  0.7     41          9.61            7.33   10.2    12.6    13.4    4.07          8.15            7.28   16.5    3.90   24.9  25.6   25.6
 70    31  524288  0.75   159         32.0            23.6    22.9    16.5    17.6    6.91         26.2            23.3    14.1    7.37   12.7  14.0   12.7
 71    31  524288  0.8   1105        178.            126.     73.0    64.1    67.5   64.9         137.            123.     63.9   67.1    64.9  66.8   61.9
 72    31  524288  0.85  1471        150.             89.1    51.8    51.6    51.3   51.6          99.1            86.2    51.9   52.9    52.5  51.2   52.2
 73    31  524288  0.9   6496        333.            166.    104.    105.    105.   103.          109.            153.    104.   106.    105.  103.   102. 
 74    31  524288  0.95 41978        257.            115.     96.9    98.4    99.0   89.3         958.             91.1    97.7   92.0    97.9  92.7   98.1
 75    71   16384  0.7     41         10.0             9.03   16.4    17.9    21.6    4.52          9.38            9.00   14.5    4.67   NA    NA     NA  
 76    71   16384  0.75   159         33.6            29.8    62.8    65.1    78.9   11.0          31.0            29.7    67.1   11.4    NA    NA     NA  
 77    71   16384  0.8   1105        189.            164.    509.    347.    531.    35.9         170.            162.    311.    41.5    NA    NA     NA  
 78    71   16384  0.85  1471        165.            129.    533.    330.    640.    91.6         141.            128.    329.    97.0    NA    NA     NA  
 79    71   16384  0.9   6496        395.            245.   2117.    348.   1623.   463.          290.            241.    319.   459.     NA    NA     NA  
 80    71   16384  0.95 41978        419.            502.   2273.   1089.   1861.  3979.          567.            527.   1031.  3923.     NA    NA     NA  
 81    71   32768  0.7     41         10.0             9.02   17.3    21.9    18.1    4.52          9.38            9.00   18.0    4.67   28.3  NA     28.4
 82    71   32768  0.75   159         33.6            29.8    60.8    57.6    81.9   11.0          31.0            29.7    71.7   11.4   115.   NA     97.2
 83    71   32768  0.8   1105        189.            163.    422.    304.    490.    37.6         170.            163.    313.    39.2   627.   NA    479. 
 84    71   32768  0.85  1471        165.            129.    452.    268.    587.    92.4         141.            128.    281.    91.6   530.   NA    621. 
 85    71   32768  0.9   6496        395.            245.   1868.    225.   1379.   461.          290.            241.    208.   463.    628.   NA    515. 
 86    71   32768  0.95 41978        421.            501.   1530.   1038.   1435.  3983.          568.            523.    995.  3915.   1221.   NA   1277. 
 87    71   65536  0.7     41         10.0             9.02   15.1    19.5    21.4    4.52          9.38            9.01   14.9    4.67   27.2  NA     27.2
 88    71   65536  0.75   159         33.6            29.8    53.5    65.4    66.3   11.0          31.0            29.7    61.3   11.4   104.   NA     85.8
 89    71   65536  0.8   1105        189.            163.    380.    308.    475.    36.9         170.            163.    295.    41.1   383.   NA    323. 
 90    71   65536  0.85  1471        165.            129.    432.    195.    552.    91.5         141.            128.    180.    93.8   274.   NA    344. 
 91    71   65536  0.9   6496        395.            245.   1554.    138.    946.   459.          290.            242.    144.   454.    221.   NA    193. 
 92    71   65536  0.95 41978        422.            499.   1330.    966.   1337.  3979.          568.            522.    927.  3911.   1081.   NA   1127. 
 93    71  131072  0.7     41         10.0             9.02   20.5    18.3    23.1    4.52          9.39            9.01   16.5    4.67   26.6  NA     26.6
 94    71  131072  0.75   159         33.6            29.8    73.9    66.2    68.5   11.0          31.0            29.7    63.2   11.4    95.4  NA     77.0
 95    71  131072  0.8   1105        189.            163.    485.    246.    423.    36.0         170.            163.    247.    40.0   231.   NA    204. 
 96    71  131072  0.85  1471        164.            129.    410.    145.    456.    89.9         142.            128.    138.    90.8   128.   NA    141. 
 97    71  131072  0.9   6496        395.            245.   1243.     94.6   548.   459.          291.            241.    103.   451.    118.   NA     99.2
 98    71  131072  0.95 41978        421.            499.   1183.    906.   1265.  3979.          565.            522.    918.  3909.    998.   NA    940. 
 99    71  262144  0.7     41         10.0             9.03   20.9    16.4    19.7    4.52          9.39            9.01   16.4    4.67   26.6  NA     26.6
100    71  262144  0.75   159         33.6            29.8    68.3    62.1    79.9   11.0          31.0            29.7    59.4   11.4    76.4  NA     66.7
101    71  262144  0.8   1105        189.            163.    473.    209.    465.    36.0         171.            163.    223.    38.7   135.   NA    150. 
102    71  262144  0.85  1471        164.            129.    344.     91.9   383.    89.8         142.            128.     92.7   90.5    78.6  NA     72.9
103    71  262144  0.9   6496        394.            245.    859.     84.4   376.   459.          292.            242.     83.2  448.     73.0  NA     66.0
104    71  262144  0.95 41978        421.            498.   1106.    904.   1195.  3977.          560.            521.    879.  3904.    915.   NA    878. 
105    71  524288  0.7     41         10.0             9.03   17.3    18.7    22.0    4.52          9.41            9.01   16.3    4.67   26.6  NA     26.6
106    71  524288  0.75   159         33.6            29.8    70.1    56.3    74.5   11.0          31.1            29.7    56.5   11.5    61.9  NA     43.8
107    71  524288  0.8   1105        189.            163.    433.    180.    406.    36.0         171.            163.    199.    38.7   114.   NA    120. 
108    71  524288  0.85  1471        164.            129.    255.     78.9   344.    90.7         142.            128.     81.4   91.4    61.9  NA     63.0
109    71  524288  0.9   6496        394.            245.    400.     78.9   230.   458.          295.            242.     70.0  448.     64.9  NA     62.9
110    71  524288  0.95 41978        421.            499.   1049.    884.   1075.  3978.          550.            521.    878.  3904.    860.   NA    859. 
