##Options: Namespace(fnames='sampled_fns.txt', k=['31'], nrepeat=1, nthreads=['96'], sketchsize=['256'])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
Mash	31	256	8	96	553.5014705657959	160.4216320514679
Bindash-8	31	256	8	96	536.1295657157898	5.389098644256592
Bindash-4	31	256	4	96	541.7104089260101	5.296506404876709
Bindash-2	31	256	2	96	536.8548226356506	5.3581085205078125
Bindash-1	31	256	1	96	540.1072430610657	5.682966709136963
Bindash-0.5	31	256	0.5	96	554.078325510025	5.423841238021851
Dashing1-bin	31	256	1	96	99.86558389663696	34.646745443344116
Dashing1-txt	31	256	1	96	102.7013852596283	234.1033935546875
D2OP-bin-8	31	256	8	96	156.43110871315002	11.16722583770752
D2OP-bin-4	31	256	4	96	161.0158941745758	10.803682327270508
D2OP-bin-2	31	256	2	96	161.54432129859924	11.087261438369751
D2OP-bin-1	31	256	1	96	160.95084881782532	11.41497540473938
D2OP-bin-0.5	31	256	0.5	96	156.3789496421814	15.215395450592041
D2FSS-bin-8	31	256	8	96	269.84574365615845	10.854205131530762
D2FSS-bin-4	31	256	4	96	264.24562096595764	10.898021221160889
D2FSS-bin-2	31	256	2	96	267.3481459617615	10.416043043136597
D2FSS-bin-1	31	256	1	96	247.02968049049377	10.949268817901611
D2FSS-bin-0.5	31	256	0.5	96	262.6958518028259	10.069355726242065
D2OP-txt-8	31	256	8	96	155.75084280967712	14.61063528060913
D2OP-txt-4	31	256	4	96	157.5539834499359	16.323325872421265
D2OP-txt-2	31	256	2	96	160.08242845535278	19.565175533294678
D2OP-txt-1	31	256	1	96	156.62883830070496	18.506237745285034
D2OP-txt-0.5	31	256	0.5	96	158.6510615348816	21.26429843902588
D2FSS-txt-8	31	256	8	96	259.9284317493439	13.95262598991394
D2FSS-txt-4	31	256	4	96	247.7386679649353	17.772596836090088
D2FSS-txt-2	31	256	2	96	267.24174976348877	20.638501405715942
D2FSS-txt-1	31	256	1	96	282.55087018013	20.90363049507141
D2FSS-txt-0.5	31	256	0.5	96	226.2496473789215	17.559378623962402
