##Options: Namespace(fnames='sampled_fns.txt', k=[31], nrepeat=2, nthreads=[268], sketchsize=[1024])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime
Mash	31	1024	8	268	6273.527568722144	15664.852101851255
Bindash-8	31	1024	8	268	5608.96659757942	799.7967629134655
Bindash-4	31	1024	4	268	5622.399869285524	803.2891772333533
Bindash-2	31	1024	2	268	5628.087366400287	807.1870708614588
Bindash-1	31	1024	1	268	5620.364138957113	816.0955432821065
Bindash-0.5	31	1024	0.5	268	5652.188040740788	818.2918934058398
Dashing1-bin	31	1024	1	268	4767.578338416293	5226.896777911112
Dashing1-txt	31	1024	1	268	2963.0286764036864	9506.804851390421
D2OP-bin-8	31	1024	8	268	2322.5878463145345	248.5430565737188
D2OP-bin-4	31	1024	4	268	2322.806627629325	360.0835932418704
D2OP-bin-2	31	1024	2	268	2325.834633829072	291.7823412772268
