# A tibble: 120 × 13
# Groups:   k, sketchsize, bin [120]
        k sketchsize   bin     n        BD1        BD8     Dash1        FSS1       FSS8       Mash         SM         SS1        SS8
    <int>      <int> <dbl> <int>      <dbl>      <dbl>     <dbl>       <dbl>      <dbl>      <dbl>      <dbl>       <dbl>      <dbl>
 52    21     131072  0.55    61 0.0302     0.0430     0.0314    0.0276      0.0320     0.0291     0.0291     0.0277      0.0429    
 53    21     131072  0.6     58 0.104      0.0991     0.102     0.0979      0.101      0.109      0.109      0.0976      0.108     
 54    21     131072  0.65    60 0.0701     0.0621     0.0714    0.0682      0.0806     0.0809     0.0809     0.0694      0.0756    
 55    21     131072  0.7     61 0.0898     0.0901     0.0867    0.0875      0.0849     0.0929     0.0929     0.0853      0.0868    
 56    21     131072  0.75    64 0.0605     0.0636     0.0627    0.0637      0.0753     0.0713     0.0710     0.0597      0.0622    
 57    21     131072  0.8     59 0.0588     0.0624     0.0575    0.0588      0.0667     0.0587     0.0586     0.0541      0.0613    
 58    21     131072  0.85    61 0.102      0.107      0.107     0.106       0.109      0.103      0.103      0.104       0.103     
 59    21     131072  0.9     52 0.0466     0.0491     0.0461    0.0473      0.0506     0.0571     0.0567     0.0473      0.0524    
 60    21     131072  0.95    34 0.0156     0.0155     0.0154    0.0150      0.0172     0.0178     0.0180     0.0159      0.0169    
 61    31       8192  0        8 0.000295   0.00148    0.00369   0.000390    0.00352    0.00270    0.00273    0.000283    0.00350   
 62    31       8192  0.05    48 0.00328    0.0292     0.0300    0.00358     0.0361     0.0278     0.0279     0.00281     0.0250    
 63    31       8192  0.1     48 0.00584    0.0366     0.0266    0.00598     0.0478     0.0391     0.0390     0.00388     0.0559    
 64    31       8192  0.15    55 0.00779    0.0480     0.0215    0.00781     0.0662     0.0477     0.0478     0.00794     0.0585    
 65    31       8192  0.2     52 0.0103     0.0798     0.0182    0.00992     0.0695     0.0833     0.0830     0.00744     0.0944    
 66    31       8192  0.25    46 0.0117     0.146      0.0349    0.00844     0.0731     0.0787     0.0786     0.00834     0.0713    
 67    31       8192  0.3     52 0.0217     0.0695     0.0275    0.0137      0.116      0.0769     0.0771     0.0196      0.108     
 68    31       8192  0.35    52 0.0143     0.0977     0.0443    0.0165      0.0887     0.0849     0.0852     0.0136      0.104     
 69    31       8192  0.4     56 0.0210     0.0970     0.0326    0.0249      0.0784     0.108      0.107      0.0212      0.0937    
 70    31       8192  0.45    44 0.0174     0.0849     0.0389    0.0194      0.0947     0.148      0.147      0.0260      0.0972    
 71    31       8192  0.5     55 0.0230     0.120      0.0439    0.0143      0.0981     0.162      0.162      0.0174      0.104     
 72    31       8192  0.55    53 0.0233     0.111      0.0485    0.0311      0.129      0.147      0.147      0.0314      0.0915    
 73    31       8192  0.6     49 0.0971     0.143      0.119     0.0998      0.141      0.198      0.199      0.0997      0.175     
 74    31       8192  0.65    54 0.0554     0.165      0.0826    0.0508      0.124      0.148      0.148      0.0603      0.153     
 75    31       8192  0.7     57 0.0781     0.211      0.118     0.0798      0.169      0.158      0.158      0.0813      0.145     
 76    31       8192  0.75    49 0.0405     0.0561     0.0382    0.0386      0.0934     0.130      0.130      0.0387      0.0705    
 77    31       8192  0.8     45 0.0367     0.0609     0.0501    0.0367      0.0845     0.119      0.119      0.0328      0.0603    
 78    31       8192  0.85    56 0.0815     0.117      0.0752    0.0737      0.0964     0.122      0.122      0.0684      0.0910    
 79    31       8192  0.9     50 0.0410     0.0612     0.0456    0.0368      0.0490     0.0446     0.0447     0.0431      0.0560    
 80    31       8192  0.95    35 0.00941    0.0109     0.0125    0.0104      0.0121     0.0136     0.0135     0.00938     0.0118    
 81    31      32768  0        8 0.000285   0.000157   0.00105   0.0000608   0.00116    0.000293   0.000306   0.0000913   0.000182  
 82    31      32768  0.05    48 0.00147    0.00661    0.00707   0.00122     0.00607    0.00702    0.00704    0.000711    0.00434   
 83    31      32768  0.1     48 0.00226    0.0131     0.00704   0.00122     0.0118     0.00810    0.00802    0.00161     0.0116    
 84    31      32768  0.15    55 0.00351    0.0140     0.00970   0.00366     0.0115     0.0184     0.0182     0.00314     0.0163    
 85    31      32768  0.2     52 0.00600    0.0173     0.0105    0.00324     0.0218     0.0166     0.0166     0.00332     0.0196    
 86    31      32768  0.25    46 0.00367    0.0214     0.00928   0.00288     0.0175     0.0186     0.0185     0.00200     0.0137    
 87    31      32768  0.3     52 0.00709    0.0255     0.0119    0.00474     0.0224     0.0220     0.0220     0.00555     0.0320    
 88    31      32768  0.35    52 0.00705    0.0266     0.0146    0.00822     0.0177     0.0180     0.0181     0.00653     0.0297    
 89    31      32768  0.4     56 0.0118     0.0445     0.0125    0.0109      0.0286     0.0296     0.0297     0.00978     0.0356    
 90    31      32768  0.45    44 0.00849    0.0240     0.0112    0.00637     0.0302     0.0205     0.0205     0.00915     0.0329    
 91    31      32768  0.5     55 0.0123     0.0298     0.0146    0.0103      0.0304     0.0518     0.0515     0.00951     0.0256    
 92    31      32768  0.55    53 0.0165     0.0273     0.0256    0.0213      0.0392     0.0338     0.0336     0.0183      0.0444    
 93    31      32768  0.6     49 0.0911     0.113      0.104     0.0892      0.111      0.120      0.120      0.0873      0.121     
 94    31      32768  0.65    54 0.0437     0.0714     0.0543    0.0482      0.0588     0.0714     0.0715     0.0465      0.0588    
 95    31      32768  0.7     57 0.0738     0.0835     0.0802    0.0769      0.0953     0.0950     0.0948     0.0769      0.0999    
 96    31      32768  0.75    49 0.0312     0.0346     0.0322    0.0312      0.0548     0.0463     0.0462     0.0284      0.0409    
 97    31      32768  0.8     45 0.0363     0.0490     0.0377    0.0348      0.0467     0.0462     0.0463     0.0368      0.0385    
 98    31      32768  0.85    56 0.0764     0.0914     0.0770    0.0725      0.0798     0.0915     0.0916     0.0659      0.0777    
 99    31      32768  0.9     50 0.0377     0.0438     0.0418    0.0380      0.0374     0.0402     0.0402     0.0416      0.0450    
100    31      32768  0.95    35 0.00919    0.00973    0.0105    0.0101      0.0105     0.00909    0.00907    0.00944     0.00919   
101    31     131072  0        8 0.000260   0.000156   0.000209  0.0000396   0.0000711  0.0000846  0.0000828  0.0000267   0.000104  
102    31     131072  0.05    48 0.00111    0.00137    0.00152   0.000406    0.00163    0.00149    0.00145    0.000373    0.00145   
103    31     131072  0.1     48 0.00141    0.00290    0.00243   0.000308    0.00253    0.00188    0.00191    0.000468    0.00270   
104    31     131072  0.15    55 0.00285    0.00535    0.00277   0.00126     0.00597    0.00450    0.00453    0.00156     0.00471   
105    31     131072  0.2     52 0.00355    0.00677    0.00358   0.00191     0.00598    0.00437    0.00438    0.00231     0.00427   
106    31     131072  0.25    46 0.00364    0.00516    0.00352   0.00224     0.00408    0.00545    0.00545    0.00237     0.00392   
107    31     131072  0.3     52 0.00671    0.0112     0.00507   0.00322     0.00870    0.00917    0.00921    0.00407     0.00965   
108    31     131072  0.35    52 0.00623    0.00804    0.00717   0.00398     0.0111     0.00930    0.00940    0.00589     0.00797   
109    31     131072  0.4     56 0.00903    0.0112     0.00863   0.00832     0.0218     0.0158     0.0157     0.00845     0.0144    
110    31     131072  0.45    44 0.00746    0.00882    0.00710   0.00551     0.0102     0.00972    0.00975    0.00719     0.0149    
111    31     131072  0.5     55 0.0113     0.0151     0.0118    0.0103      0.0123     0.0175     0.0175     0.0105      0.0111    
112    31     131072  0.55    53 0.0174     0.0179     0.0216    0.0191      0.0240     0.0204     0.0203     0.0170      0.0191    
113    31     131072  0.6     49 0.0927     0.0896     0.0893    0.0888      0.0913     0.0998     0.0999     0.0881      0.0981    
114    31     131072  0.65    54 0.0464     0.0434     0.0459    0.0489      0.0480     0.0455     0.0456     0.0433      0.0522    
115    31     131072  0.7     57 0.0751     0.0718     0.0763    0.0750      0.0803     0.0845     0.0846     0.0758      0.0792    
116    31     131072  0.75    49 0.0299     0.0305     0.0296    0.0324      0.0376     0.0373     0.0373     0.0286      0.0318    
117    31     131072  0.8     45 0.0357     0.0340     0.0380    0.0340      0.0358     0.0408     0.0408     0.0368      0.0356    
118    31     131072  0.85    56 0.0743     0.0774     0.0736    0.0739      0.0721     0.0798     0.0796     0.0714      0.0698    
119    31     131072  0.9     50 0.0386     0.0415     0.0393    0.0410      0.0373     0.0464     0.0463     0.0422      0.0417    
120    31     131072  0.95    35 0.00945    0.00910    0.0101    0.0101      0.0107     0.0101     0.0102     0.00968     0.00962   
