# A tibble: 120 × 13
# Groups:   k, sketchsize, bin [120]
        k sketchsize   bin     n     BD1     BD8   Dash1     FSS1    FSS8    Mash      SM      SS1     SS8
    <int>      <int> <dbl> <int>   <dbl>   <dbl>   <dbl>    <dbl>   <dbl>   <dbl>   <dbl>    <dbl>   <dbl>
 68    31       8192  0.35    52 0.672   1.83    1.16    0.798    1.80    1.63    1.63    0.705    1.81   
 69    31       8192  0.4     56 0.846   1.76    1.10    0.882    1.67    2.00    2.00    0.881    1.70   
 70    31       8192  0.45    44 0.735   1.51    1.04    0.757    1.64    1.94    1.94    0.841    1.68   
 71    31       8192  0.5     55 0.880   2.14    1.19    0.685    1.85    2.17    2.17    0.739    1.94   
 72    31       8192  0.55    53 0.884   1.89    1.20    0.955    2.04    2.27    2.27    0.855    1.76   
 73    31       8192  0.6     49 1.12    2.00    1.32    1.12     1.76    2.35    2.36    1.17     1.99   
 74    31       8192  0.65    54 1.12    2.23    1.39    1.05     2.01    2.22    2.22    1.10     2.12   
 75    31       8192  0.7     57 1.55    2.84    1.81    1.57     2.46    2.49    2.49    1.47     2.12   
 76    31       8192  0.75    49 1.03    1.33    1.13    1.04     1.80    2.15    2.15    1.03     1.50   
 77    31       8192  0.8     45 0.928   1.28    1.10    0.928    1.59    1.87    1.87    0.804    1.26   
 78    31       8192  0.85    56 1.56    2.01    1.53    1.44     1.82    2.13    2.13    1.34     1.73   
 79    31       8192  0.9     50 1.08    1.44    1.19    0.966    1.22    1.15    1.15    1.11     1.29   
 80    31       8192  0.95    35 0.478   0.498   0.561   0.512    0.539   0.576   0.574   0.489    0.527  
 81    31      32768  0        8 0.0421  0.0285  0.0661  0.0188   0.0819  0.0375  0.0380  0.0248   0.0350 
 82    31      32768  0.05    48 0.222   0.453   0.467   0.168    0.448   0.430   0.429   0.139    0.371  
 83    31      32768  0.1     48 0.271   0.640   0.476   0.188    0.555   0.517   0.514   0.224    0.604  
 84    31      32768  0.15    55 0.352   0.702   0.562   0.358    0.626   0.804   0.800   0.276    0.732  
 85    31      32768  0.2     52 0.406   0.769   0.591   0.303    0.823   0.762   0.765   0.265    0.835  
 86    31      32768  0.25    46 0.320   0.781   0.539   0.311    0.717   0.784   0.783   0.221    0.593  
 87    31      32768  0.3     52 0.462   0.858   0.611   0.392    0.869   0.871   0.871   0.444    1.03   
 88    31      32768  0.35    52 0.471   0.943   0.726   0.498    0.781   0.785   0.787   0.466    1.08   
 89    31      32768  0.4     56 0.673   1.38    0.674   0.593    1.03    0.981   0.983   0.538    1.17   
 90    31      32768  0.45    44 0.496   0.838   0.556   0.431    0.932   0.778   0.778   0.486    0.980  
 91    31      32768  0.5     55 0.652   1.07    0.716   0.564    1.08    1.29    1.29    0.537    0.969  
 92    31      32768  0.55    53 0.640   0.978   0.825   0.818    1.11    1.02    1.01    0.600    1.17   
 93    31      32768  0.6     49 0.996   1.44    1.16    0.998    1.34    1.40    1.39    0.965    1.37   
 94    31      32768  0.65    54 0.893   1.41    1.05    0.936    1.26    1.37    1.37    0.914    1.15   
 95    31      32768  0.7     57 1.42    1.59    1.38    1.43     1.72    1.68    1.68    1.38     1.73   
 96    31      32768  0.75    49 0.940   0.969   1.02    0.966    1.28    1.17    1.17    0.944    1.08   
 97    31      32768  0.8     45 0.911   1.13    0.910   0.905    1.13    1.15    1.15    0.881    0.913  
 98    31      32768  0.85    56 1.43    1.72    1.48    1.44     1.52    1.72    1.73    1.31     1.47   
 99    31      32768  0.9     50 1.03    1.14    1.11    1.04     0.936   1.07    1.07    1.12     1.13   
100    31      32768  0.95    35 0.472   0.485   0.506   0.501    0.519   0.468   0.467   0.483    0.475  
101    31     131072  0        8 0.0425  0.0335  0.0320  0.0162   0.0204  0.0230  0.0226  0.0120   0.0243 
102    31     131072  0.05    48 0.205   0.197   0.206   0.119    0.211   0.220   0.218   0.107    0.206  
103    31     131072  0.1     48 0.223   0.295   0.252   0.0990   0.289   0.237   0.242   0.114    0.291  
104    31     131072  0.15    55 0.330   0.429   0.291   0.212    0.484   0.414   0.416   0.215    0.394  
105    31     131072  0.2     52 0.325   0.439   0.321   0.204    0.411   0.369   0.368   0.211    0.350  
106    31     131072  0.25    46 0.342   0.406   0.335   0.241    0.345   0.378   0.379   0.254    0.326  
107    31     131072  0.3     52 0.484   0.578   0.404   0.318    0.534   0.501   0.503   0.348    0.551  
108    31     131072  0.35    52 0.438   0.502   0.485   0.331    0.610   0.553   0.555   0.435    0.525  
109    31     131072  0.4     56 0.589   0.615   0.513   0.525    0.888   0.626   0.626   0.522    0.727  
110    31     131072  0.45    44 0.496   0.529   0.437   0.389    0.534   0.549   0.550   0.462    0.659  
111    31     131072  0.5     55 0.609   0.691   0.636   0.550    0.661   0.797   0.796   0.572    0.590  
112    31     131072  0.55    53 0.669   0.717   0.733   0.744    0.789   0.695   0.691   0.657    0.676  
113    31     131072  0.6     49 1.01    0.946   0.949   0.960    1.05    1.14    1.14    0.972    1.08   
114    31     131072  0.65    54 0.902   0.902   0.867   0.920    1.00    0.959   0.960   0.864    0.927  
115    31     131072  0.7     57 1.38    1.41    1.35    1.39     1.53    1.52    1.52    1.37     1.37   
116    31     131072  0.75    49 0.951   0.886   0.925   0.974    1.06    0.986   0.984   0.938    0.930  
117    31     131072  0.8     45 0.915   0.879   0.937   0.885    0.936   1.00    1.00    0.913    0.843  
118    31     131072  0.85    56 1.44    1.46    1.44    1.44     1.46    1.55    1.55    1.41     1.39   
119    31     131072  0.9     50 1.05    1.13    1.06    1.12     0.987   1.24    1.24    1.14     1.10   
120    31     131072  0.95    35 0.480   0.476   0.496   0.496    0.516   0.499   0.499   0.488    0.487  
