# A tibble: 120 × 10
# Groups:   k, sketchsize, bin [120]
        k sketchsize   bin     n    Dash1      FSS1     FSS8     Mash       SS1      SS8
    <int>      <int> <dbl> <int>    <dbl>     <dbl>    <dbl>    <dbl>     <dbl>    <dbl>
 97    31      32768  0.8     45 0.0377   0.0348    0.0467   0.0462   0.0368    0.0385  
 98    31      32768  0.85    56 0.0770   0.0725    0.0798   0.0915   0.0659    0.0777  
 99    31      32768  0.9     50 0.0418   0.0380    0.0374   0.0402   0.0416    0.0450  
100    31      32768  0.95    35 0.0105   0.0101    0.0105   0.00909  0.00944   0.00919 
101    31     131072  0       52 0.00160  0.000167  0.000499 0.000529 0.000141  0.000604
102    31     131072  0.05    50 0.00163  0.000407  0.00166  0.00149  0.000379  0.00156 
103    31     131072  0.1     48 0.00243  0.000308  0.00253  0.00188  0.000468  0.00270 
104    31     131072  0.15    55 0.00277  0.00126   0.00597  0.00450  0.00156   0.00471 
105    31     131072  0.2     52 0.00358  0.00191   0.00598  0.00437  0.00231   0.00427 
106    31     131072  0.25    46 0.00352  0.00224   0.00408  0.00545  0.00237   0.00392 
107    31     131072  0.3     52 0.00507  0.00322   0.00870  0.00917  0.00407   0.00965 
108    31     131072  0.35    52 0.00717  0.00398   0.0111   0.00930  0.00589   0.00797 
109    31     131072  0.4     56 0.00863  0.00832   0.0218   0.0158   0.00845   0.0144  
110    31     131072  0.45    44 0.00710  0.00551   0.0102   0.00972  0.00719   0.0149  
111    31     131072  0.5     55 0.0118   0.0103    0.0123   0.0175   0.0105    0.0111  
112    31     131072  0.55    53 0.0216   0.0191    0.0240   0.0204   0.0170    0.0191  
113    31     131072  0.6     49 0.0893   0.0888    0.0913   0.0998   0.0881    0.0981  
114    31     131072  0.65    54 0.0459   0.0489    0.0480   0.0455   0.0433    0.0522  
115    31     131072  0.7     57 0.0763   0.0750    0.0803   0.0845   0.0758    0.0792  
116    31     131072  0.75    49 0.0296   0.0324    0.0376   0.0373   0.0286    0.0318  
117    31     131072  0.8     45 0.0380   0.0340    0.0358   0.0408   0.0368    0.0356  
118    31     131072  0.85    56 0.0736   0.0739    0.0721   0.0798   0.0714    0.0698  
119    31     131072  0.9     50 0.0393   0.0410    0.0373   0.0464   0.0422    0.0417  
120    31     131072  0.95    35 0.0101   0.0101    0.0107   0.0101   0.00968   0.00962 
