# A tibble: 120 × 10
# Groups:   k, sketchsize, bin [120]
        k sketchsize   bin     n Dash1   FSS1   FSS8   Mash    SS1    SS8
    <int>      <int> <dbl> <int> <dbl>  <dbl>  <dbl>  <dbl>  <dbl>  <dbl>
 79    31       8192  0.9     50 1.19  0.966  1.22   1.15   1.11   1.29  
 80    31       8192  0.95    35 0.561 0.512  0.539  0.576  0.489  0.527 
 81    31      32768  0       52 0.505 0.102  0.247  0.222  0.127  0.274 
 82    31      32768  0.05    50 0.487 0.175  0.480  0.438  0.146  0.403 
 83    31      32768  0.1     48 0.476 0.188  0.555  0.517  0.224  0.604 
 84    31      32768  0.15    55 0.562 0.358  0.626  0.804  0.276  0.732 
 85    31      32768  0.2     52 0.591 0.303  0.823  0.762  0.265  0.835 
 86    31      32768  0.25    46 0.539 0.311  0.717  0.784  0.221  0.593 
 87    31      32768  0.3     52 0.611 0.392  0.869  0.871  0.444  1.03  
 88    31      32768  0.35    52 0.726 0.498  0.781  0.785  0.466  1.08  
 89    31      32768  0.4     56 0.674 0.593  1.03   0.981  0.538  1.17  
 90    31      32768  0.45    44 0.556 0.431  0.932  0.778  0.486  0.980 
 91    31      32768  0.5     55 0.716 0.564  1.08   1.29   0.537  0.969 
 92    31      32768  0.55    53 0.825 0.818  1.11   1.02   0.600  1.17  
 93    31      32768  0.6     49 1.16  0.998  1.34   1.40   0.965  1.37  
 94    31      32768  0.65    54 1.05  0.936  1.26   1.37   0.914  1.15  
 95    31      32768  0.7     57 1.38  1.43   1.72   1.68   1.38   1.73  
 96    31      32768  0.75    49 1.02  0.966  1.28   1.17   0.944  1.08  
 97    31      32768  0.8     45 0.910 0.905  1.13   1.15   0.881  0.913 
 98    31      32768  0.85    56 1.48  1.44   1.52   1.72   1.31   1.47  
 99    31      32768  0.9     50 1.11  1.04   0.936  1.07   1.12   1.13  
100    31      32768  0.95    35 0.506 0.501  0.519  0.468  0.483  0.475 
101    31     131072  0       52 0.225 0.0639 0.116  0.122  0.0569 0.133 
102    31     131072  0.05    50 0.220 0.120  0.219  0.222  0.110  0.221 
103    31     131072  0.1     48 0.252 0.0990 0.289  0.237  0.114  0.291 
104    31     131072  0.15    55 0.291 0.212  0.484  0.414  0.215  0.394 
105    31     131072  0.2     52 0.321 0.204  0.411  0.369  0.211  0.350 
106    31     131072  0.25    46 0.335 0.241  0.345  0.378  0.254  0.326 
107    31     131072  0.3     52 0.404 0.318  0.534  0.501  0.348  0.551 
108    31     131072  0.35    52 0.485 0.331  0.610  0.553  0.435  0.525 
109    31     131072  0.4     56 0.513 0.525  0.888  0.626  0.522  0.727 
110    31     131072  0.45    44 0.437 0.389  0.534  0.549  0.462  0.659 
111    31     131072  0.5     55 0.636 0.550  0.661  0.797  0.572  0.590 
112    31     131072  0.55    53 0.733 0.744  0.789  0.695  0.657  0.676 
113    31     131072  0.6     49 0.949 0.960  1.05   1.14   0.972  1.08  
114    31     131072  0.65    54 0.867 0.920  1.00   0.959  0.864  0.927 
115    31     131072  0.7     57 1.35  1.39   1.53   1.52   1.37   1.37  
116    31     131072  0.75    49 0.925 0.974  1.06   0.986  0.938  0.930 
117    31     131072  0.8     45 0.937 0.885  0.936  1.00   0.913  0.843 
118    31     131072  0.85    56 1.44  1.44   1.46   1.55   1.41   1.39  
119    31     131072  0.9     50 1.06  1.12   0.987  1.24   1.14   1.10  
120    31     131072  0.95    35 0.496 0.496  0.516  0.499  0.488  0.487 
