# A tibble: 120 × 12
# Groups:   k, sketchsize, bin [120]
        k sketchsize   bin     n     BD1       BD2       BD4      BD8    Dash1      FSS1     Mash       SS1
    <int>      <int> <dbl> <int>   <dbl>     <dbl>     <dbl>    <dbl>    <dbl>     <dbl>    <dbl>     <dbl>
 63    31       8192  0.1     48 0.124   -0.0396   -0.0826   -0.114   -0.103    0.0813    0.183    0.0645  
 64    31       8192  0.15    55 0.217   -0.216    -0.550    -0.456    0.244    0.180     0.325    0.125   
 65    31       8192  0.2     52 0.333   -0.0517   -0.253    -0.315    0.305    0.0983    0.692    0.120   
 66    31       8192  0.25    46 0.229    0.179    -0.413    -0.862    0.634    0.116     0.896    0.179   
 67    31       8192  0.3     52 0.551    0.595     0.263     0.185    0.150    0.377     0.00494  0.427   
 68    31       8192  0.35    52 0.369    0.441     0.327     0.120    0.348    0.412     0.847    0.383   
 69    31       8192  0.4     56 0.671    0.893     0.864     0.626   -0.0430   0.674     0.313    0.413   
 70    31       8192  0.45    44 0.601    0.639     0.537     0.533    0.635    0.550     0.955    0.687   
 71    31       8192  0.5     55 0.747    0.432     0.247     0.325    0.485    0.306     1.31     0.0947  
 72    31       8192  0.55    53 0.729    0.368     0.262     0.426    0.739    0.752     1.40     0.384   
 73    31       8192  0.6     49 0.834    0.875     0.561     0.315    1.02     0.977     1.67     0.875   
 74    31       8192  0.65    54 0.916    0.951     0.930     1.13     1.05     0.826     0.641    0.840   
 75    31       8192  0.7     57 1.44     1.32      1.12      1.63     1.36     1.37      1.31     1.31    
 76    31       8192  0.75    49 0.902    0.695     0.529     0.341    0.900    0.897     1.38     0.981   
 77    31       8192  0.8     45 0.828    0.932     0.838     0.780    1.06     0.875     1.65     0.706   
 78    31       8192  0.85    56 1.48     1.63      1.57      1.53     1.37     1.35      1.72     1.22    
 79    31       8192  0.9     50 1.03     1.02      1.07      1.21     1.14     0.964     0.870    1.08    
 80    31       8192  0.95    35 0.478    0.485     0.485     0.411    0.536    0.508     0.426    0.487   
