GCF_019375055.2_ASM1937505v2
GCF_021131995.1_ASM2113199v1
GCF_021132075.1_ASM2113207v1
GCF_020886495.2_ASM2088649v2
GCF_021132015.1_ASM2113201v1
GCF_021132095.1_ASM2113209v1
GCF_020886575.2_ASM2088657v2
GCF_021132035.1_ASM2113203v1
GCF_021131975.1_ASM2113197v1
GCF_021132055.1_ASM2113205v1
