#Measure	HLL	CSD	CS16	CS8	CS4
MeanAbsEr	0.01775859887580496	0.009124199214999214	0.009122897287171751	0.009649544613596857	0.013220772899111754
MeanBias	0.0020771370057401962	0.0004808269147731139	0.0004665460181748134	0.0006676507150574612	0.0013322472006319181
MeanRelDiff	0.1563387950184684	0.049545169960180734	0.049614405733036694	0.061457842361868464	0.1058517075783984
MeanRelDiffSquared	0.3212297487353737	0.012026132140284303	0.012050827897579178	0.026321944279448763	0.11721800853210292
MeanAbsErr_vsHLL	1.0	0.5137904898246446	0.5137171772938213	0.5433730825883899	0.7444716214140225
MeanBias_vsHLL	1.0	0.23148541162395267	0.22461013254566606	0.3214283473898926	0.6413862912991464
MeanRelDiff_vsHLL	1.0	0.316908992130379	0.31735184940612926	0.39310679319620195	0.6770661598478744
MeanRelDiffSquared_vsHLL	1.0	0.03743779082612715	0.037514669625155254	0.08194117880760961	0.36490396357613225
