HLL	8	65536	0.0377548040163	0.00503005766164	-0.0327247463547
CSSDouble	8	65536	0.01171875	0.00503005766164	-0.00668869233836
CSSu16	8	65536	0.0115690922656	0.00503005766164	-0.00653903460397
CSSu8	8	65536	0.0130579304305	0.00503005766164	-0.00802787276886
HLL	9	65536	0	0.00503005766164	0.00503005766164
CSSDouble	9	65536	0.005859375	0.00503005766164	-0.000829317338363
CSSu16	9	65536	0.00570943934444	0.00503005766164	-0.000679381682807
CSSu8	9	65536	0.00127314308753	0.00503005766164	0.00375691457411
HLL	10	65536	0.00212192282658	0.00503005766164	0.00290813483506
CSSDouble	10	65536	0.0029296875	0.00503005766164	0.00210037016164
CSSu16	10	65536	0.00277978535231	0.00503005766164	0.00225027230933
CSSu8	10	65536	0.0012748366678	0.00503005766164	0.00375522099384
HLL	11	65536	0	0.00503005766164	0.00503005766164
CSSDouble	11	65536	0.0029296875	0.00503005766164	0.00210037016164
CSSu16	11	65536	0.0027800105905	0.00503005766164	0.00225004707114
CSSu8	11	65536	0.00328169773266	0.00503005766164	0.00174835992898
HLL	12	65536	0.0154657739701	0.00503005766164	-0.0104357163085
CSSDouble	12	65536	0.004638671875	0.00503005766164	0.000391385786637
CSSu16	12	65536	0.00473291261119	0.00503005766164	0.000297145050442
CSSu8	12	65536	0.00640597648451	0.00503005766164	-0.00137591882288
HLL	14	65536	0.0119252457094	0.00503005766164	-0.00689518804773
CSSDouble	14	65536	0.005615234375	0.00503005766164	-0.000585176713363
CSSu16	14	65536	0.00564839381764	0.00503005766164	-0.000618336156004
CSSu8	14	65536	0.00438387593885	0.00503005766164	0.000646181722789
HLL	8	65536	0.046342520664	0.0101031897103	-0.0362393309536
CSSDouble	8	65536	0.01171875	0.0101031897103	-0.00161556028969
CSSu16	8	65536	0.0115690922656	0.0101031897103	-0.00146590255529
CSSu8	8	65536	0.0130579304305	0.0101031897103	-0.00295474072018
HLL	9	65536	0.00146961832878	0.0101031897103	0.00863357138153
CSSDouble	9	65536	0.009765625	0.0101031897103	0.000337564710314
CSSu16	9	65536	0.00961569843844	0.0101031897103	0.000487491271873
CSSu8	9	65536	0.00518359571477	0.0101031897103	0.00491959399554
HLL	10	65536	0.0118738205003	0.0101031897103	-0.00177063079003
CSSDouble	10	65536	0.0107421875	0.0101031897103	-0.000638997789686
CSSu16	10	65536	0.010592312693	0.0101031897103	-0.000489122982639
CSSu8	10	65536	0.010075398785	0.0101031897103	2.77909253023e-05
HLL	11	65536	0.00270366932065	0.0101031897103	0.00739952038967
CSSDouble	11	65536	0.00732421875	0.0101031897103	0.00277897096031
CSSu16	11	65536	0.00717460805944	0.0101031897103	0.00292858165087
CSSu8	11	65536	0.00769032426321	0.0101031897103	0.0024128654471
HLL	12	65536	0.0188914102526	0.0101031897103	-0.00878822054225
CSSDouble	12	65536	0.010986328125	0.0101031897103	-0.000883138414686
CSSu16	12	65536	0.0110805714118	0.0101031897103	-0.000977381701451
CSSu8	12	65536	0.0134937863421	0.0101031897103	-0.00339059663179
HLL	14	65536	0.0163022819748	0.0101031897103	-0.00619909226449
CSSDouble	14	65536	0.0109252929688	0.0101031897103	-0.000822103258436
CSSu16	14	65536	0.01095846757	0.0101031897103	-0.000855277859703
CSSu8	14	65536	0.00945663611623	0.0101031897103	0.000646553594082
HLL	8	65536	0.0530926334693	0.0152356608962	-0.0378569725732
CSSDouble	8	65536	0.015625	0.0152356608962	-0.00038933910383
CSSu16	8	65536	0.015475529835	0.0152356608962	-0.000239868938861
CSSu8	8	65536	0.0170030893858	0.0152356608962	-0.00176742848966
HLL	9	65536	0.00964758920788	0.0152356608962	0.00558807168829
CSSDouble	9	65536	0.01171875	0.0152356608962	0.00351691089617
CSSu16	9	65536	0.0115688359939	0.0152356608962	0.00366682490224
CSSu8	9	65536	0.0090948454836	0.0152356608962	0.00614081541257
HLL	10	65536	0.0181021001626	0.0152356608962	-0.00286643926638
CSSDouble	10	65536	0.013671875	0.0152356608962	0.00156378589617
CSSu16	10	65536	0.0135220301809	0.0152356608962	0.00171363071525
CSSu8	10	65536	0.0130125745051	0.0152356608962	0.00222308639109
HLL	11	65536	0.00881862430018	0.0152356608962	0.00641703659599
CSSDouble	11	65536	0.0146484375	0.0152356608962	0.00058722339617
CSSu16	11	65536	0.0144988578047	0.0152356608962	0.00073680309142
CSSu8	11	65536	0.0150268445208	0.0152356608962	0.000208816375411
HLL	12	65536	0.0231836059266	0.0152356608962	-0.00794794503039
CSSDouble	12	65536	0.01708984375	0.0152356608962	-0.00185418285383
CSSu16	12	65536	0.0171841096301	0.0152356608962	-0.00194844873389
CSSu8	12	65536	0.0193631832931	0.0152356608962	-0.00412752239696
HLL	14	65536	0.0218977870612	0.0152356608962	-0.00666212616508
CSSDouble	14	65536	0.0164184570312	0.0152356608962	-0.00118279613508
CSSu16	14	65536	0.0164516550796	0.0152356608962	-0.00121599418339
CSSu8	14	65536	0.014836153875	0.0152356608962	0.000399507021166
HLL	8	65536	0.0556740711166	0.0204126119112	-0.0352614592054
CSSDouble	8	65536	0.02734375	0.0204126119112	-0.00693113808875
CSSu16	8	65536	0.0271941835582	0.0204126119112	-0.00678157164698
CSSu8	8	65536	0.0287141366428	0.0204126119112	-0.00830152473152
HLL	9	65536	0.0109936236127	0.0204126119112	0.0094189882986
CSSDouble	9	65536	0.021484375	0.0204126119112	-0.00107176308875
CSSu16	9	65536	0.0213344894492	0.0204126119112	-0.000921877537987
CSSu8	9	65536	0.0188709742086	0.0204126119112	0.00154163770264
