##Options: Namespace(fnames='sampled_fns.txt', k=['31'], nrepeat=3, nthreads=['96'], sketchsize=['1024'])
##Results for sampled_fns.txt
#Method	k	NumReg	RegisterSize	NumThreads	SketchTime	DistanceTime
PMH-bin-8-500000	31	1024	8	96	310.0387419760227	7.934601329267025
PMH-bin-8-2500000	31	1024	8	96	444.6068679206073	8.3408068343997
PMH-bin-8-10000000	31	1024	8	96	512.3272507190704	8.25948092713952
PMH-bin-4-500000	31	1024	4	96	318.2584403939545	12.166975766420364
PMH-bin-4-2500000	31	1024	4	96	444.0546860061586	12.291324146091938
PMH-bin-4-10000000	31	1024	4	96	514.8857943601906	12.585798505693674
PMH-bin-2-500000	31	1024	2	96	314.187439147383	11.67038245126605
PMH-bin-2-2500000	31	1024	2	96	448.92664343491197	12.204283833503723
PMH-bin-2-10000000	31	1024	2	96	512.8664475493133	12.786459565162659
PMH-bin-1-500000	31	1024	1	96	317.52300922200084	14.720295567065477
PMH-bin-1-2500000	31	1024	1	96	451.58432926237583	14.382373973727226
PMH-bin-1-10000000	31	1024	1	96	515.5925052314997	14.456512682139874
PMH-bin-0.5-500000	31	1024	0.5	96	320.1661908775568	13.185743421316147
PMH-bin-0.5-2500000	31	1024	0.5	96	450.5880532115698	15.243056330829859
PMH-bin-0.5-10000000	31	1024	0.5	96	514.6796486079693	14.349778827279806
PMH-txt-8-500000	31	1024	8	96	326.65190890803933	59.56710010394454
PMH-txt-8-2500000	31	1024	8	96	459.61815514042974	16.08129782229662
PMH-txt-8-10000000	31	1024	8	96	516.1513871662319	17.75024962425232
PMH-txt-4-500000	31	1024	4	96	382.44347605109215	19.028304018080235
PMH-txt-4-2500000	31	1024	4	96	460.4760604798794	20.52166022732854
PMH-txt-4-10000000	31	1024	4	96	517.8035255298018	22.183342844247818
PMH-txt-2-500000	31	1024	2	96	349.60550363361835	19.38621998205781
PMH-txt-2-2500000	31	1024	2	96	455.7811217010021	20.68543915078044
PMH-txt-2-10000000	31	1024	2	96	526.5847859494388	21.978689197450876
PMH-txt-1-500000	31	1024	1	96	363.16872150823474	26.039251513779163
PMH-txt-1-2500000	31	1024	1	96	463.8883768208325	25.985041320323944
PMH-txt-1-10000000	31	1024	1	96	532.8564882203937	25.443015929311514
PMH-txt-0.5-500000	31	1024	0.5	96	380.2627670876682	85.24373403191566
PMH-txt-0.5-2500000	31	1024	0.5	96	523.8195066712797	22.31967182829976
PMH-txt-0.5-10000000	31	1024	0.5	96	539.4543640427291	23.75991588830948
